------------------------------------------------------------
 Electron Density
------------------------------------------------------------
Distance (nm), Carrier Density (/cm3)
               4.228,                    0
               4.236,                    0
               4.245,                    0
               4.253,                    0
               4.261,                    0
               4.269,                    0
               4.277,                    0
               4.285,                    0
               4.294,                    0
               4.302,                    0
                4.31,                    0
               4.318,                    0
               4.326,                    0
               4.334,                    0
               4.342,                    0
                4.35,                    0
               4.358,                    0
               4.365,                    0
               4.373,                    0
               4.381,                    0
               4.389,                    0
               4.397,                    0
               4.405,                    0
               4.412,                    0
                4.42,                    0
               4.428,                    0
               4.436,                    0
               4.443,                    0
               4.451,                    0
               4.459,                    0
               4.466,                    0
               4.474,                    0
               4.481,                    0
               4.489,                    0
               4.497,                    0
               4.504,                    0
               4.512,                    0
               4.519,                    0
               4.526,                    0
               4.534,                    0
               4.541,                    0
               4.549,                    0
               4.556,                    0
               4.563,                    0
               4.571,                    0
               4.578,                    0
               4.585,                    0
               4.593,                    0
                 4.6,                    0
               4.607,                    0
               4.614,                    0
               4.622,                    0
               4.629,                    0
               4.636,                    0
               4.643,                    0
                4.65,                    0
               4.657,                    0
               4.664,                    0
               4.671,                    0
               4.678,                    0
               4.685,                    0
               4.692,                    0
               4.699,                    0
               4.706,                    0
               4.713,                    0
                4.72,                    0
               4.727,                    0
               4.734,                    0
               4.741,                    0
               4.748,                    0
               4.754,                    0
               4.761,                    0
               4.768,                    0
               4.775,                    0
               4.781,                    0
               4.788,                    0
               4.795,                    0
               4.802,                    0
               4.808,                    0
               4.815,                    0
               4.822,                    0
               4.828,                    0
               4.835,                    0
               4.841,                    0
               4.848,                    0
               4.854,                    0
               4.861,                    0
               4.867,                    0
               4.874,                    0
                4.88,                    0
               4.887,                    0
               4.893,                    0
                 4.9,                    0
               4.906,                    0
               4.913,                    0
               4.919,                    0
               4.925,                    0
               4.932,                    0
               4.938,                    0
               4.944,                    0
                4.95,                    0
               4.957,                    0
               4.963,                    0
               4.969,                    0
               4.975,                    0
               4.982,                    0
               4.988,                    0
               4.994,                    0
                   5,                    0
               5.006,                    0
               5.012,                    0
               5.018,                    0
               5.025,                    0
               5.031,                    0
               5.037,                    0
               5.043,                    0
                5.05,                    0
               5.056,                    0
               5.062,                    0
               5.068,                    0
               5.075,                    0
               5.081,                    0
               5.087,                    0
               5.094,                    0
                 5.1,                    0
               5.107,                    0
               5.113,                    0
                5.12,                    0
               5.126,                    0
               5.133,                    0
               5.139,                    0
               5.146,                    0
               5.152,                    0
               5.159,                    0
               5.165,                    0
               5.172,                    0
               5.178,                    0
               5.185,                    0
               5.192,                    0
               5.198,                    0
               5.205,                    0
               5.212,                    0
               5.219,                    0
               5.225,                    0
               5.232,                    0
               5.239,                    0
               5.246,                    0
               5.252,                    0
               5.259,                    0
               5.266,                    0
               5.273,                    0
                5.28,                    0
               5.287,                    0
               5.294,                    0
               5.301,                    0
               5.308,                    0
               5.315,                    0
               5.322,                    0
               5.329,                    0
               5.336,                    0
               5.343,                    0
                5.35,                    0
               5.357,                    0
               5.364,                    0
               5.371,                    0
               5.378,                    0
               5.386,                    0
               5.393,                    0
                 5.4,                    0
               5.407,                    0
               5.415,                    0
               5.422,                    0
               5.429,                    0
               5.437,                    0
               5.444,                    0
               5.451,                    0
               5.459,                    0
               5.466,                    0
               5.474,                    0
               5.481,                    0
               5.488,                    0
               5.496,                    0
               5.503,                    0
               5.511,                    0
               5.519,                    0
               5.526,                    0
               5.534,                    0
               5.541,                    0
               5.549,                    0
               5.557,                    0
               5.564,                    0
               5.572,                    0
                5.58,                    0
               5.588,                    0
               5.595,                    0
               5.603,                    0
               5.611,                    0
               5.619,                    0
               5.627,                    0
               5.635,                    0
               5.642,                    0
                5.65,                    0
               5.658,                    0
               5.666,                    0
               5.674,                    0
               5.682,                    0
                5.69,                    0
               5.698,                    0
               5.706,                    0
               5.715,                    0
               5.723,                    0
               5.731,                    0
               5.739,                    0
               5.747,                    0
               5.755,                    0
               5.764,                    0
               5.772,                    0
                5.78,                    0
               5.788,                    0
               5.797,                    0
               5.805,                    0
               5.814,                    0
               5.822,                    0
                5.83,                    0
               5.839,                    0
               5.847,                    0
               5.856,                    0
               5.864,                    0
               5.873,                    0
               5.881,                    0
                5.89,                    0
               5.899,                    0
               5.907,                    0
               5.916,                    0
               5.925,                    0
               5.933,                    0
               5.942,                    0
               5.951,                    0
                5.96,                    0
               5.968,                    0
               5.977,                    0
               5.986,                    0
               5.995,                    0
               6.004,                    0
               6.013,                    0
               6.022,                    0
               6.031,                    0
                6.04,                    0
               6.049,                    0
               6.058,                    0
               6.067,                    0
               6.076,                    0
               6.085,                    0
               6.094,                    0
               6.104,                    0
               6.113,                    0
               6.122,                    0
               6.131,                    0
                6.14,                    0
                6.15,                    0
               6.159,                    0
               6.169,                    0
               6.178,                    0
               6.187,                    0
               6.197,                    0
               6.206,                    0
               6.216,                    0
               6.225,                    0
               6.235,                    0
               6.244,                    0
               6.254,                    0
               6.264,                    0
               6.273,                    0
               6.283,                    0
               6.293,                    0
               6.302,                    0
               6.312,                    0
               6.322,                    0
               6.332,                    0
               6.342,                    0
               6.351,                    0
               6.361,                    0
               6.371,                    0
               6.381,                    0
               6.391,                    0
               6.401,                    0
               6.411,                    0
               6.421,                    0
               6.431,                    0
               6.442,                    0
               6.452,                    0
               6.462,                    0
               6.472,                    0
               6.482,                    0
               6.493,                    0
               6.503,                    0
               6.513,                    0
               6.524,                    0
               6.534,                    0
               6.544,                    0
               6.555,                    0
               6.565,                    0
               6.576,                    0
               6.586,                    0
               6.597,                    0
               6.607,                    0
               6.618,                    0
               6.629,                    0
               6.639,                    0
                6.65,                    0
               6.661,                    0
               6.671,                    0
               6.682,                    0
               6.693,                    0
               6.704,                    0
               6.715,                    0
               6.726,                    0
               6.737,                    0
               6.748,                    0
               6.759,                    0
                6.77,                    0
               6.781,                    0
               6.792,                    0
               6.803,                    0
               6.814,                    0
               6.825,                    0
               6.837,                    0
               6.848,                    0
               6.859,                    0
                6.87,                    0
               6.882,                    0
               6.893,                    0
               6.904,                    0
               6.916,                    0
               6.927,                    0
               6.939,                    0
                6.95,                    0
               6.962,                    0
               6.974,                    0
               6.985,                    0
               6.997,                    0
               7.009,                    0
                7.02,                    0
               7.032,                    0
               7.044,                    0
               7.056,                    0
               7.068,                    0
               7.079,                    0
               7.091,                    0
               7.103,                    0
               7.115,                    0
               7.127,                    0
               7.139,                    0
               7.151,                    0
               7.164,                    0
               7.176,                    0
               7.188,                    0
                 7.2,                    0
               7.212,                    0
               7.225,                    0
               7.237,                    0
               7.249,                    0
               7.262,                    0
               7.274,                    0
               7.287,                    0
               7.299,                    0
               7.312,                    0
               7.324,                    0
               7.337,                    0
                7.35,                    0
               7.362,                    0
               7.375,                    0
               7.388,                    0
               7.401,                    0
               7.413,                    0
               7.426,                    0
               7.439,                    0
               7.452,                    0
