------------------------------------------------------------
 Electron Density
------------------------------------------------------------
Distance (nm), Carrier Density (/cm3)
                4.31,    6.04784629175e+18
               4.318,    6.03761915443e+18
               4.326,    6.02742040896e+18
               4.334,    6.01724997653e+18
               4.342,    6.00710777853e+18
                4.35,    5.99699373658e+18
               4.358,    5.98771487373e+18
               4.365,    5.97849810904e+18
               4.373,    5.96930693129e+18
               4.381,    5.96014126943e+18
               4.389,    5.95100105263e+18
               4.397,    5.94188621026e+18
               4.405,    5.93327824729e+18
               4.412,    5.92501518168e+18
                4.42,    5.91677505542e+18
               4.428,     5.9085578048e+18
               4.436,    5.90036336634e+18
               4.443,    5.89219167669e+18
               4.451,    5.88414101396e+18
               4.459,    5.87678067097e+18
               4.466,    5.86944076125e+18
               4.474,    5.86212122807e+18
               4.481,    5.85482201486e+18
               4.489,    5.84754306521e+18
               4.497,    5.84028432286e+18
               4.504,    5.83344097452e+18
               4.512,      5.826955449e+18
               4.519,    5.82048792814e+18
               4.526,    5.81403836195e+18
               4.534,    5.80760670059e+18
               4.541,    5.80119289435e+18
               4.549,    5.79479689367e+18
               4.556,    5.78900068836e+18
               4.563,    5.78334386485e+18
               4.571,    5.77770274542e+18
               4.578,    5.77207728646e+18
               4.585,    5.76646744451e+18
               4.593,     5.7608731762e+18
                 4.6,     5.7552944383e+18
               4.607,    5.75040012077e+18
               4.614,    5.74553007953e+18
               4.622,    5.74067355816e+18
               4.629,    5.73583051912e+18
               4.636,    5.73100092499e+18
               4.643,    5.72618473843e+18
                4.65,    5.72138907649e+18
               4.657,    5.71725609191e+18
               4.664,    5.71313458103e+18
               4.671,      5.709024512e+18
               4.678,    5.70492585305e+18
               4.685,     5.7008385725e+18
               4.692,    5.69676263878e+18
               4.699,    5.69269802037e+18
               4.706,    5.68921662458e+18
               4.713,    5.68580859944e+18
                4.72,    5.68241003541e+18
               4.727,    5.67902090623e+18
               4.734,    5.67564118571e+18
               4.741,    5.67227084774e+18
               4.748,    5.66890986626e+18
               4.754,     5.6659561665e+18
               4.761,    5.66322939081e+18
               4.768,      5.660510185e+18
               4.775,    5.65779852805e+18
               4.781,    5.65509439902e+18
               4.788,      5.652397777e+18
               4.795,    5.64970864115e+18
               4.802,    5.64717157353e+18
               4.808,    5.64509628082e+18
               4.815,    5.64302674939e+18
               4.822,    5.64096296324e+18
               4.828,    5.63890490643e+18
               4.835,    5.63685256306e+18
               4.841,    5.63480591725e+18
               4.848,     5.6327649532e+18
               4.854,    5.63112736961e+18
               4.861,      5.629680004e+18
               4.867,    5.62823665647e+18
               4.874,    5.62679731586e+18
                4.88,    5.62536197104e+18
               4.887,    5.62393061093e+18
               4.893,    5.62250322446e+18
                 4.9,    5.62107980059e+18
               4.906,    5.62020600774e+18
               4.913,    5.61935760502e+18
               4.919,    5.61851155757e+18
               4.925,    5.61766785886e+18
               4.932,    5.61682650237e+18
               4.938,    5.61598748159e+18
               4.944,    5.61515079004e+18
                4.95,    5.61435436497e+18
               4.957,    5.61407716215e+18
               4.963,    5.61380072888e+18
               4.969,    5.61352506302e+18
               4.975,    5.61325016245e+18
               4.982,    5.61297602504e+18
               4.988,    5.61270264867e+18
               4.994,    5.61243003122e+18
                   5,     5.6121581706e+18
               5.006,    5.61243003122e+18
               5.012,    5.61270264867e+18
               5.018,    5.61297602504e+18
               5.025,    5.61325016245e+18
               5.031,    5.61352506302e+18
               5.037,    5.61380072888e+18
               5.043,    5.61407716215e+18
                5.05,    5.61435436497e+18
               5.056,    5.61515079005e+18
               5.062,    5.61598748159e+18
               5.068,    5.61682650237e+18
               5.075,    5.61766785887e+18
               5.081,    5.61851155758e+18
               5.087,    5.61935760502e+18
               5.094,    5.62020600775e+18
                 5.1,     5.6210798006e+18
               5.107,    5.62250322446e+18
               5.113,    5.62393061094e+18
                5.12,    5.62536197105e+18
               5.126,    5.62679731587e+18
               5.133,    5.62823665648e+18
               5.139,    5.62968000401e+18
               5.146,    5.63112736962e+18
               5.152,    5.63276495321e+18
               5.159,    5.63480591726e+18
               5.165,    5.63685256307e+18
               5.172,    5.63890490645e+18
               5.178,    5.64096296325e+18
               5.185,     5.6430267494e+18
               5.192,    5.64509628083e+18
               5.198,    5.64717157354e+18
               5.205,    5.64970864117e+18
               5.212,    5.65239777702e+18
               5.219,    5.65509439904e+18
               5.225,    5.65779852807e+18
               5.232,    5.66051018501e+18
               5.239,    5.66322939082e+18
               5.246,    5.66595616651e+18
               5.252,    5.66890986627e+18
               5.259,    5.67227084775e+18
               5.266,    5.67564118573e+18
               5.273,    5.67902090625e+18
                5.28,    5.68241003542e+18
               5.287,    5.68580859945e+18
               5.294,     5.6892166246e+18
               5.301,    5.69269802039e+18
               5.308,     5.6967626388e+18
               5.315,    5.70083857252e+18
               5.322,    5.70492585307e+18
               5.329,    5.70902451202e+18
               5.336,    5.71313458105e+18
               5.343,    5.71725609193e+18
                5.35,    5.72138907651e+18
               5.357,    5.72618473845e+18
               5.364,    5.73100092501e+18
               5.371,    5.73583051915e+18
               5.378,    5.74067355819e+18
               5.386,    5.74553007956e+18
               5.393,    5.75040012079e+18
                 5.4,    5.75529443832e+18
               5.407,    5.76087317622e+18
               5.415,    5.76646744453e+18
               5.422,    5.77207728649e+18
               5.429,    5.77770274544e+18
               5.437,    5.78334386488e+18
               5.444,    5.78900068838e+18
               5.451,    5.79479689369e+18
               5.459,    5.80119289438e+18
               5.466,    5.80760670061e+18
               5.474,    5.81403836197e+18
               5.481,    5.82048792816e+18
               5.488,    5.82695544902e+18
               5.496,    5.83344097454e+18
               5.503,    5.84028432289e+18
               5.511,    5.84754306523e+18
               5.519,    5.85482201489e+18
               5.526,     5.8621212281e+18
               5.534,    5.86944076128e+18
               5.541,      5.876780671e+18
               5.549,    5.88414101398e+18
               5.557,    5.89219167672e+18
               5.564,    5.90036336637e+18
               5.572,    5.90855780483e+18
                5.58,    5.91677505544e+18
               5.588,    5.92501518171e+18
               5.595,    5.93327824732e+18
               5.603,    5.94188621029e+18
               5.611,    5.95100105267e+18
               5.619,    5.96014126946e+18
               5.627,    5.96930693132e+18
               5.635,    5.97849810907e+18
               5.642,    5.98771487376e+18
                5.65,    5.99699373661e+18
               5.658,    6.00710777856e+18
               5.666,    6.01724997656e+18
               5.674,    6.02742040899e+18
               5.682,    6.03761915446e+18
                5.69,    6.04784629178e+18
               5.698,        6.0581019e+18
               5.706,    6.06909622156e+18
               5.715,    6.08030297028e+18
               5.723,      6.091540917e+18
               5.731,    6.10281014856e+18
               5.739,    6.11411075205e+18
               5.747,    6.12544281482e+18
               5.755,    6.13742568216e+18
               5.764,    6.14976671199e+18
               5.772,     6.1621420975e+18
                5.78,    6.17455193431e+18
               5.788,    6.18699631834e+18
               5.797,    6.19947534577e+18
               5.805,    6.21260966069e+18
               5.814,    6.22616271009e+18
               5.822,    6.23975348925e+18
                5.83,     6.2533821032e+18
               5.839,    6.26704865727e+18
               5.847,    6.28075325708e+18
               5.856,    6.29522428394e+18
               5.864,    6.31007600224e+18
               5.873,    6.32496906561e+18
               5.881,    6.33990358915e+18
                5.89,    6.35487968828e+18
               5.899,    6.36989747873e+18
               5.907,    6.38591761314e+18
               5.916,    6.40216451673e+18
               5.925,    6.41845664938e+18
               5.933,      6.434794137e+18
               5.942,    6.45117710586e+18
               5.951,    6.46771962772e+18
                5.96,    6.48541982459e+18
               5.968,    6.50316929628e+18
               5.977,    6.52096817998e+18
               5.986,    6.53881661324e+18
               5.995,    6.55671473398e+18
               6.004,    6.57523664774e+18
               6.013,    6.59455419523e+18
               6.022,    6.61392552002e+18
               6.031,    6.63335077182e+18
                6.04,    6.65283010075e+18
               6.049,    6.67236365735e+18
               6.058,     6.6931820614e+18
               6.067,    6.71424886565e+18
               6.076,    6.73537431688e+18
               6.085,    6.75655857836e+18
               6.094,    6.77780181381e+18
               6.104,    6.79968907442e+18
               6.113,    6.82258732125e+18
               6.122,    6.84554931353e+18
               6.131,    6.86857522872e+18
                6.14,    6.89166524478e+18
                6.15,    6.91481954016e+18
               6.159,    6.93966424125e+18
               6.169,    6.96461303982e+18
               6.178,    6.98963129229e+18
               6.187,    7.01471919201e+18
               6.197,    7.03987693287e+18
               6.206,    7.06628554039e+18
               6.216,    7.09338622798e+18
               6.225,    7.12056236003e+18
               6.235,    7.14781414656e+18
               6.244,    7.17514179819e+18
               6.254,    7.20334817708e+18
               6.264,    7.23278155789e+18
               6.273,    7.26229687704e+18
               6.283,    7.29189436264e+18
               6.293,    7.32157424341e+18
               6.302,      7.351848966e+18
               6.312,    7.38381238466e+18
               6.322,    7.41586478492e+18
               6.332,     7.4480064145e+18
               6.342,    7.48023752179e+18
               6.351,    7.51289328734e+18
               6.361,    7.54760136618e+18
               6.371,    7.58240606736e+18
               6.381,    7.61730765988e+18
               6.391,    7.65230641345e+18
               6.401,    7.68770358055e+18
               6.411,    7.72538884988e+18
               6.421,    7.76317902963e+18
               6.431,    7.80107441185e+18
               6.442,    7.83907528942e+18
               6.452,    7.87762737659e+18
               6.462,    7.91854076973e+18
               6.472,    7.95956805992e+18
               6.482,    8.00070956426e+18
               6.493,    8.04196560067e+18
               6.503,    8.08414457823e+18
               6.513,    8.12855576003e+18
               6.524,    8.17309057623e+18
               6.534,    8.21774937102e+18
               6.544,    8.26253248953e+18
               6.555,    8.30887365096e+18
               6.565,    8.35707114526e+18
               6.576,    8.40540281452e+18
               6.586,    8.45386903226e+18
               6.597,    8.50247017305e+18
               6.607,     8.5535763363e+18
               6.618,    8.60586741464e+18
               6.629,    8.65830406388e+18
               6.639,    8.71088668929e+18
                6.65,    8.76361569724e+18
               6.661,    8.82016044679e+18
               6.671,    8.87687073736e+18
               6.682,    8.93373890129e+18
               6.693,    8.99076537809e+18
               6.704,    9.04937810384e+18
               6.715,    9.11068014463e+18
               6.726,    9.17215284158e+18
               6.737,    9.23379666976e+18
               6.748,    9.29561210558e+18
               6.759,    9.36092311689e+18
                6.77,      9.427333059e+18
               6.781,    9.49392787693e+18
               6.792,    9.56070808534e+18
               6.803,    9.62887079571e+18
               6.814,    9.70056266928e+18
               6.825,    9.77245412281e+18
               6.837,     9.8445457119e+18
               6.848,    9.91683799371e+18
               6.859,    9.99320169404e+18
                6.87,    1.00707452754e+19
               6.882,     1.0148504727e+19
               6.893,    1.02264806499e+19
               6.904,    1.03066833688e+19
               6.916,    1.03902416966e+19
               6.927,    1.04740326389e+19
               6.939,    1.05580568432e+19
                6.95,     1.0642507876e+19
               6.962,    1.07324474898e+19
               6.974,    1.08226374826e+19
               6.985,    1.09130785516e+19
               6.997,    1.10037713956e+19
               7.009,    1.10989207514e+19
                7.02,    1.11958772707e+19
               7.032,    1.12931037032e+19
               7.044,    1.13906008002e+19
               7.056,    1.14912600446e+19
               7.068,    1.15953459688e+19
               7.079,    1.16997216534e+19
               7.091,    1.18043879051e+19
               7.103,    1.19110872686e+19
               7.115,    1.20226555523e+19
               7.127,    1.21345344263e+19
               7.139,    1.22467247551e+19
               7.151,    1.23600257406e+19
               7.164,    1.24794132803e+19
               7.176,     1.2599133178e+19
               7.188,    1.27191863588e+19
                 7.2,    1.28396730514e+19
               7.212,     1.2967193704e+19
               7.225,    1.30950693559e+19
               7.237,    1.32233009955e+19
               7.249,    1.33518896137e+19
               7.262,    1.34875048113e+19
               7.274,    1.36238199143e+19
               7.287,    1.37605144991e+19
               7.299,    1.38975896222e+19
               7.312,    1.40417477278e+19
               7.324,    1.41867461578e+19
               7.337,    1.43321482428e+19
                7.35,    1.44779551065e+19
               7.362,      1.463116964e+19
               7.375,    1.47850456722e+19
               7.388,    1.49393500733e+19
               7.401,      1.509437379e+19
               7.413,    1.52568090917e+19
               7.426,    1.54196965901e+19
               7.439,    1.55830375441e+19
               7.452,     1.5747949926e+19
               7.465,    1.59194331493e+19
               7.478,    1.60913937574e+19
               7.491,    1.62638330793e+19
               7.504,    1.64389583608e+19
               7.517,    1.66194662779e+19
                7.53,    1.68004767034e+19
               7.543,    1.69819910361e+19
               7.557,    1.71674998064e+19
                7.57,    1.73569108573e+19
               7.583,    1.75468492017e+19
               7.597,    1.77373163074e+19
                7.61,    1.79331792641e+19
               7.623,     1.8131259069e+19
               7.637,    1.83298902998e+19
                7.65,    1.85291971773e+19
               7.664,    1.87350103086e+19
               7.677,    1.89413963943e+19
               7.691,    1.91483570295e+19
               7.705,    1.93577198032e+19
               7.718,    1.95713105915e+19
               7.732,    1.97854959861e+19
               7.746,    2.00002776423e+19
               7.759,    2.02188867233e+19
               7.773,    2.04395896227e+19
               7.787,    2.06609069276e+19
               7.801,    2.08831172523e+19
               7.815,    2.11094600072e+19
               7.829,    2.13364328682e+19
               7.843,    2.15640375892e+19
               7.857,    2.17936091345e+19
               7.871,    2.20251714046e+19
               7.885,    2.22573783111e+19
               7.899,    2.24902316485e+19
               7.914,    2.27250570875e+19
               7.928,    2.29605974154e+19
               7.942,    2.31967934539e+19
               7.956,    2.34335924212e+19
               7.971,    2.36709836036e+19
               7.985,    2.39090356492e+19
                   8,    2.41477503977e+19
               8.014,    2.43853287429e+19
               8.029,    2.46235255279e+19
               8.043,    2.48623854189e+19
               8.058,    2.50998745161e+19
               8.073,    2.53362691778e+19
               8.087,    2.55733219286e+19
               8.102,    2.58102572456e+19
               8.117,    2.60426620908e+19
               8.132,     2.6275713918e+19
               8.146,    2.65094145282e+19
               8.161,    2.67374404548e+19
               8.176,    2.69640514903e+19
               8.191,    2.71912933786e+19
               8.206,    2.74146353586e+19
               8.221,     2.7632120832e+19
               8.236,     2.7850211754e+19
               8.252,     2.8067535475e+19
               8.267,    2.82729719925e+19
               8.282,     2.8478980416e+19
               8.297,    2.86855623376e+19
               8.313,    2.88788960033e+19
               8.328,    2.90696615011e+19
               8.343,    2.92609580629e+19
               8.359,    2.94414150661e+19
               8.374,    2.96135670849e+19
                8.39,    2.97861983504e+19
               8.405,    2.99512929813e+19
               8.421,    3.01012773645e+19
               8.437,    3.02516792829e+19
               8.452,    3.03985682781e+19
               8.468,    3.05226817517e+19
               8.484,    3.06471407394e+19
                 8.5,    3.07719462033e+19
               8.516,    3.08670473257e+19
               8.531,    3.09617440473e+19
               8.547,    3.10567043912e+19
               8.563,     3.1123119444e+19
               8.579,    3.11841820277e+19
               8.596,    3.12454146009e+19
               8.612,    3.12792605324e+19
               8.628,    3.13028304127e+19
               8.644,    3.13264659082e+19
                8.66,    3.13236344629e+19
               8.677,    3.13059421069e+19
               8.693,    3.12882004979e+19
                8.71,    3.12444358309e+19
               8.726,    3.11818874606e+19
               8.743,    3.11191649646e+19
               8.759,    3.10301695004e+19
               8.776,    3.09194444655e+19
               8.792,    3.08084111878e+19
               8.809,    3.06699824522e+19
               8.826,    3.05081404576e+19
               8.843,    3.03458479179e+19
               8.859,    3.01540481596e+19
               8.876,    2.99386450259e+19
               8.893,    2.97226422406e+19
                8.91,    2.94740013568e+19
               8.927,     2.9203211395e+19
               8.944,    2.89316675924e+19
               8.961,    2.86234181465e+19
               8.979,    2.82961605703e+19
               8.996,    2.79679919556e+19
               9.013,    2.75983329112e+19
                9.03,    2.72143990146e+19
               9.048,    2.68293963007e+19
               9.065,    2.63977795087e+19
               9.083,    2.59579566189e+19
                 9.1,    2.55167814373e+19
               9.118,    2.50243398253e+19
               9.135,    2.45305273261e+19
               9.153,    2.40278537282e+19
               9.171,    2.34846769809e+19
               9.188,     2.2939988107e+19
               9.206,    2.23795407882e+19
               9.224,    2.17900286431e+19
               9.242,    2.11988753802e+19
                9.26,    2.05867274656e+19
               9.278,    1.99566330877e+19
               9.296,    1.93247846168e+19
               9.314,    1.86695913678e+19
               9.332,     1.8006047911e+19
                9.35,    1.73403972913e+19
               9.368,    1.66538176991e+19
               9.387,    1.59653267673e+19
               9.405,    1.52723104025e+19
               9.424,    1.45706392684e+19
               9.442,    1.38670147819e+19
                9.46,    1.31624363215e+19
               9.479,    1.24566658254e+19
               9.498,    1.17489305648e+19
               9.516,    1.10512987264e+19
               9.535,    1.03534692102e+19
               9.554,    9.65903594482e+18
               9.573,    8.98390230649e+18
               9.591,    8.30688919229e+18
                9.61,    7.64976830253e+18
               9.629,    7.00879798546e+18
               9.648,    6.36604329834e+18
               9.667,    5.77000082498e+18
               9.687,    5.17684160212e+18
               9.706,    4.60182854595e+18
               9.725,     4.0714757525e+18
               9.744,    3.53964653243e+18
               9.764,     3.0615279838e+18
               9.783,    2.60527493559e+18
               9.802,    2.15914724209e+18
               9.822,    1.78997508642e+18
               9.842,    1.41977520806e+18
               9.861,    1.10493420416e+18
               9.881,     8.3204978873e+17
               9.901,    5.61396444044e+17
                9.92,    3.93826795029e+17
                9.94,    2.25790655981e+17
                9.96,    1.13824842019e+17
                9.98,     5.6991528933e+16
                  10,                    0
               10.01,                    0
               10.02,                    0
               10.05,                    0
               10.08,                    0
               10.13,                    0
                10.2,                    0
                10.3,                    0
               10.45,                    0
               10.67,                    0
                  11,                    0
               11.33,                    0
               11.55,                    0
                11.7,                    0
                11.8,                    0
               11.87,                    0
               11.92,                    0
               11.95,                    0
               11.98,                    0
               11.99,                    0
                  12,                    0
               12.02,                    0
               12.17,                    0
               13.32,                    0

