ElectrostaticPotential_Vg=0.15V X,ElectrostaticPotential_Vg=0.15V Y,ElectrostaticPotential_Vg=0.3V X,ElectrostaticPotential_Vg=0.3V Y,ElectrostaticPotential_Vg=0.45V X,ElectrostaticPotential_Vg=0.45V Y,ElectrostaticPotential_Vg=0.6V X,ElectrostaticPotential_Vg=0.6V Y,ElectrostaticPotential_Vg=0V X,ElectrostaticPotential_Vg=0V Y
-0.001875,0.23985308,-0.001875,0.35181533,-0.001875,0.45057434,-0.001875,0.49930399,-0.001875,0.12583344
-0.0012943344,0.24372969,-0.0012943344,0.35419009,-0.0012943344,0.45082695,-0.0012943344,0.49580673,-0.0012943344,0.1311294
-0.00125,0.24403264,-0.00125,0.35437591,-0.00125,0.45084834,-0.00125,0.49554066,-0.00125,0.13154312
-0.00066933449,0.24638712,-0.00066933449,0.35582332,-0.00066933449,0.45100869,-0.00066933449,0.49348219,-0.00066933449,0.13475544
-0.00062499999,0.24657109,-0.00062499999,0.35593658,-0.00062499999,0.45102226,-0.00062499999,0.49332566,-0.00062499999,0.13500634
-4.4334491e-05,0.24736931,-4.4334491e-05,0.35643606,-4.4334491e-05,0.45109293,-4.4334491e-05,0.49265503,-4.4334491e-05,0.1360882
0,0.24743173,0,0.35647522,0,0.4510989,0,0.49260415,0,0.13617273
0.00058066548,0.24666163,0.00058066548,0.35601886,0.00058066548,0.45107941,0.00058066548,0.49330134,0.00058066548,0.13510814
0.00062499999,0.24660159,0.00062499999,0.35598332,0.00062499999,0.45107775,0.00062499999,0.49335459,0.00062499999,0.13502508
0.0012056655,0.24427314,0.0012056655,0.35457589,0.0012056655,0.45096515,0.0012056655,0.49543822,0.0012056655,0.13182874
0.00125,0.24409137,0.00125,0.35446599,0.00125,0.4509556,0.00125,0.495597,0.00125,0.1315792
0.0018306655,0.24023679,0.0018306655,0.35212513,0.0018306655,0.450744,0.0018306655,0.4991167,0.0018306655,0.12629673
0.001875,0.23993571,0.001875,0.35194217,0.001875,0.45072607,0.001875,0.49938479,0.001875,0.12588415
0.0024556655,0.23460985,0.0024556655,0.34869895,0.0024556655,0.45040576,0.0024556655,0.50440218,0.0024556655,0.11859242
0.0024999999,0.23419361,0.0024999999,0.34844525,0.0024999999,0.45037864,0.0024999999,0.50478425,0.0024999999,0.11802265
0.0030806656,0.22747446,0.0030806656,0.34434473,0.0030806656,0.44993576,0.0030806656,0.51134626,0.0030806656,0.10883012
0.003125,0.22694901,0.003125,0.3440237,0.003125,0.44989833,0.003125,0.51184585,0.003125,0.10811146
0.0037056655,0.21893791,0.0037056655,0.33912554,0.0037056655,0.44931341,0.0037056655,0.51990898,0.0037056655,0.097158226
0.0037499999,0.21831102,0.0037499999,0.33874174,0.0037499999,0.44926422,0.0037499999,0.52052288,0.0037499999,0.096301454
0.0040403325,0.21386766,0.0040403325,0.33602149,0.0040403325,0.44890995,0.0040403325,0.52502017,0.0040403325,0.090228753
0.0040624999,0.21351979,0.0040624999,0.33580821,0.0040624999,0.44888027,0.0040624999,0.52536258,0.0040624999,0.089753549
0.0043528327,0.20880221,0.0043528327,0.33291779,0.0043528327,0.44847889,0.0043528327,0.53008062,0.0043528327,0.08330761
0.004375,0.20843276,0.004375,0.33269109,0.004375,0.44844537,0.004375,0.53043992,0.004375,0.082803077
0.0044193347,0.20765792,0.0044193347,0.33221555,0.0044193347,0.4483718,0.0044193347,0.53117747,0.0044193347,0.081744936
0.0046875002,0.20311701,0.0046875002,0.32943182,0.0046875002,0.44796696,0.0046875002,0.53565889,0.0046875002,0.075541468
0.0048215827,0.20074809,0.0048215827,0.32797872,0.0048215827,0.44774318,0.0048215827,0.53792476,0.0048215827,0.072305786
0.00484375,0.20034989,0.00484375,0.32773424,0.00484375,0.44770423,0.00484375,0.53829915,0.00484375,0.071762057
0.0049778325,0.19792449,0.0049778325,0.326246,0.0049778325,0.44746766,0.0049778325,0.54057159,0.0049778325,0.068449559
0.0049999999,0.19751838,0.0049999999,0.32599659,0.0049999999,0.44742689,0.0049999999,0.54094672,0.0049999999,0.067895075
0.0049999999,0.19751838,0.0049999999,0.32599659,0.0049999999,0.44742689,0.0049999999,0.54094672,0.0049999999,0.067895075
0.0050670411,0.19383491,0.0050670411,0.323736,0.0050670411,0.44706149,0.0050670411,0.54435724,0.0050670411,0.062864601
0.0050781248,0.19321887,0.0050781248,0.3233576,0.0050781248,0.44699872,0.0050781248,0.54492007,0.0050781248,0.06202354
0.0051451665,0.18952361,0.0051451665,0.32108967,0.0051451665,0.4466305,0.0051451665,0.54833016,0.0051451665,0.056977048
0.0051562502,0.18890573,0.0051562502,0.32071013,0.0051562502,0.44656729,0.0051562502,0.5488929,0.0051562502,0.056133479
0.0052232915,0.1851998,0.0052232915,0.31843555,0.0052232915,0.44619651,0.0052232915,0.55230257,0.0052232915,0.051072468
0.0052343751,0.18458021,0.0052343751,0.31805494,0.0052343751,0.44613289,0.0052343751,0.55286522,0.0052343751,0.050226575
0.0053014164,0.18086465,0.0053014164,0.31577436,0.0053014164,0.4457598,0.0053014164,0.5562745,0.0053014164,0.045152471
0.0053125001,0.18024349,0.0053125001,0.31539277,0.0053125001,0.44569579,0.0053125001,0.55683707,0.0053125001,0.044304451
0.0053795413,0.17651932,0.0053795413,0.31310683,0.0053795413,0.44532064,0.0053795413,0.56024599,0.0053795413,0.039218634
0.005390625,0.17589675,0.005390625,0.31272436,0.005390625,0.44525629,0.005390625,0.56080849,0.005390625,0.038368692
0.0054576662,0.17216496,0.0054576662,0.31043368,0.0054576662,0.44487931,0.0054576662,0.56421709,0.0054576662,0.033272517
0.0054687499,0.17154113,0.0054687499,0.31005042,0.0054687499,0.44481466,0.0054687499,0.56477953,0.0054687499,0.032420865
0.0055357912,0.1678027,0.0055357912,0.30775561,0.0055357912,0.44443608,0.0055357912,0.56818785,0.0055357912,0.027315672
0.0055468748,0.16717777,0.0055468748,0.30737166,0.0055468748,0.44437116,0.0055468748,0.56875024,0.0055468748,0.026462524
