eDensity_Vg=0.15V X,eDensity_Vg=0.15V Y,eDensity_Vg=0.3V X,eDensity_Vg=0.3V Y,eDensity_Vg=0.45V X,eDensity_Vg=0.45V Y,eDensity_Vg=0.6V X,eDensity_Vg=0.6V Y,eDensity_Vg=0V X,eDensity_Vg=0V Y
-0.0035000001,0,-0.0035000001,0,-0.0035000001,0,-0.0035000001,0,-0.0035000001,0
-0.0034570312,0,-0.0034570312,0,-0.0034570312,0,-0.0034570312,0,-0.0034570312,0
-0.0033984375,0,-0.0033984375,0,-0.0033984375,0,-0.0033984375,0,-0.0033984375,0
-0.0033398438,0,-0.0033398438,0,-0.0033398438,0,-0.0033398438,0,-0.0033398438,0
-0.0032812499,0,-0.0032812499,0,-0.0032812499,0,-0.0032812499,0,-0.0032812499,0
-0.0032226562,0,-0.0032226562,0,-0.0032226562,0,-0.0032226562,0,-0.0032226562,0
-0.0031640625,0,-0.0031640625,0,-0.0031640625,0,-0.0031640625,0,-0.0031640625,0
-0.0031054688,0,-0.0031054688,0,-0.0031054688,0,-0.0031054688,0,-0.0031054688,0
-0.0030468749,0,-0.0030468749,0,-0.0030468749,0,-0.0030468749,0,-0.0030468749,0
-0.0029882812,0,-0.0029882812,0,-0.0029882812,0,-0.0029882812,0,-0.0029882812,0
-0.0029296875,0,-0.0029296875,0,-0.0029296875,0,-0.0029296875,0,-0.0029296875,0
-0.0028710938,0,-0.0028710938,0,-0.0028710938,0,-0.0028710938,0,-0.0028710938,0
-0.0028125001,0,-0.0028125001,0,-0.0028125001,0,-0.0028125001,0,-0.0028125001,0
-0.0027539062,0,-0.0027539062,0,-0.0027539062,0,-0.0027539062,0,-0.0027539062,0
-0.0026953125,0,-0.0026953125,0,-0.0026953125,0,-0.0026953125,0,-0.0026953125,0
-0.0026367188,0,-0.0026367188,0,-0.0026367188,0,-0.0026367188,0,-0.0026367188,0
-0.0025781251,0,-0.0025781251,0,-0.0025781251,0,-0.0025781251,0,-0.0025781251,0
-0.0025195312,0,-0.0025195312,0,-0.0025195312,0,-0.0025195312,0,-0.0025195312,0
-0.0024999999,0,-0.0024999999,0,-0.0024999999,0,-0.0024999999,0,-0.0024999999,0
-0.0024999999,9.7060507e+10,-0.0024999999,2.1948106e+13,-0.0024999999,4.3635779e+15,-0.0024999999,1.3184633e+17,-0.0024999999,4.1497385e+08
-0.0024609375,1.3333133e+11,-0.0024609375,3.0192421e+13,-0.0024609375,6.0147875e+15,-0.0024609375,1.8405819e+17,-0.0024609375,5.6932633e+08
-0.0023437501,3.0325296e+11,-0.0023437501,6.8838815e+13,-0.0023437501,1.3761946e+16,-0.0023437501,4.3043891e+17,-0.0023437501,1.2920399e+09
-0.0021093751,6.9889932e+11,-0.0021093751,1.5867564e+14,-0.0021093751,3.173072e+16,-0.0021093751,9.950922e+17,-0.0021093751,2.9773281e+09
-0.001875,1.3081053e+12,-0.001875,2.9638872e+14,-0.001875,5.9105521e+16,-0.001875,1.8255102e+18,-0.001875,5.582829e+09
-0.0016406249,2.0187357e+12,-0.0016406249,4.5595994e+14,-0.0016406249,9.0529526e+16,-0.0016406249,2.7273839e+18,-0.0016406249,8.6405698e+09
-0.0014062501,2.7527523e+12,-0.0014062501,6.1947878e+14,-0.0014062501,1.2237062e+17,-0.0014062501,3.5800401e+18,-0.0014062501,1.1821692e+10
-0.001171875,3.4423053e+12,-0.001171875,7.7177078e+14,-0.001171875,1.5166148e+17,-0.001171875,4.3043996e+18,-0.001171875,1.4833473e+10
-0.00093749998,4.1622388e+12,-0.00093749998,9.292068e+14,-0.00093749998,1.8151076e+17,-0.00093749998,4.9737404e+18,-0.00093749998,1.800596e+10
-0.00046874999,4.8967641e+12,-0.00046874999,1.0854284e+15,-0.00046874999,2.0998793e+17,-0.00046874999,5.5264382e+18,-0.00046874999,2.1322846e+10
0,5.1314013e+12,0,1.1359493e+15,0,2.1935079e+17,0,5.6960987e+18,0,2.2371428e+10
0.00046874999,4.8912813e+12,0.00046874999,1.0847785e+15,0.00046874999,2.100005e+17,0.00046874999,5.5293275e+18,0.00046874999,2.1288782e+10
0.00093749998,4.1619019e+12,0.00093749998,9.2920509e+14,0.00093749998,1.8152766e+17,0.00093749998,4.974188e+18,0.00093749998,1.8003389e+10
0.001171875,3.4420846e+12,0.001171875,7.7178557e+14,0.001171875,1.5168027e+17,0.001171875,4.3049016e+18,0.001171875,1.4831621e+10
0.0014062501,2.752592e+12,0.0014062501,6.1949668e+14,0.0014062501,1.22388e+17,0.0014062501,3.5805129e+18,0.0014062501,1.1820286e+10
0.0016406249,2.0186265e+12,0.0016406249,4.5597636e+14,0.0016406249,9.0543598e+16,0.0016406249,2.727775e+18,0.0016406249,8.6395776e+09
0.001875,1.3080391e+12,0.001875,2.9640083e+14,0.001875,5.9115187e+16,0.001875,1.8257839e+18,0.001875,5.5822088e+09
0.0021093751,6.9886561e+11,0.0021093751,1.5868236e+14,0.0021093751,3.173593e+16,0.0021093751,9.9524122e+17,0.0021093751,2.9770071e+09
0.0023437501,3.0323846e+11,0.0023437501,6.8841467e+13,0.0023437501,1.3764055e+16,0.0023437501,4.3049876e+17,0.0023437501,1.2919035e+09
0.0024609375,1.4023186e+11,0.0024609375,3.1763909e+13,0.0024609375,6.3303162e+15,0.0024609375,1.9405664e+17,0.0024609375,5.986508e+08
0.0024999999,9.7055134e+10,0.0024999999,2.1948567e+13,0.0024999999,4.3640925e+15,0.0024999999,1.3186038e+17,0.0024999999,4.1492831e+08
0.0024999999,0,0.0024999999,0,0.0024999999,0,0.0024999999,0,0.0024999999,0
0.0025195312,0,0.0025195312,0,0.0025195312,0,0.0025195312,0,0.0025195312,0
0.0025781251,0,0.0025781251,0,0.0025781251,0,0.0025781251,0,0.0025781251,0
0.0026367188,0,0.0026367188,0,0.0026367188,0,0.0026367188,0,0.0026367188,0
0.0026953125,0,0.0026953125,0,0.0026953125,0,0.0026953125,0,0.0026953125,0
0.0027539062,0,0.0027539062,0,0.0027539062,0,0.0027539062,0,0.0027539062,0
0.0028125001,0,0.0028125001,0,0.0028125001,0,0.0028125001,0,0.0028125001,0
0.0028710938,0,0.0028710938,0,0.0028710938,0,0.0028710938,0,0.0028710938,0
0.0029296875,0,0.0029296875,0,0.0029296875,0,0.0029296875,0,0.0029296875,0
0.0029882812,0,0.0029882812,0,0.0029882812,0,0.0029882812,0,0.0029882812,0
0.0030468749,0,0.0030468749,0,0.0030468749,0,0.0030468749,0,0.0030468749,0
0.0031054688,0,0.0031054688,0,0.0031054688,0,0.0031054688,0,0.0031054688,0
0.0031640625,0,0.0031640625,0,0.0031640625,0,0.0031640625,0,0.0031640625,0
0.0032226562,0,0.0032226562,0,0.0032226562,0,0.0032226562,0,0.0032226562,0
0.0032812499,0,0.0032812499,0,0.0032812499,0,0.0032812499,0,0.0032812499,0
0.0033398438,0,0.0033398438,0,0.0033398438,0,0.0033398438,0,0.0033398438,0
0.0033984375,0,0.0033984375,0,0.0033984375,0,0.0033984375,0,0.0033984375,0
0.0034570312,0,0.0034570312,0,0.0034570312,0,0.0034570312,0,0.0034570312,0
0.0035000001,0,0.0035000001,0,0.0035000001,0,0.0035000001,0,0.0035000001,0

