ElectrostaticPotential_Vg=0.15V X,ElectrostaticPotential_Vg=0.15V Y,ElectrostaticPotential_Vg=0.3V X,ElectrostaticPotential_Vg=0.3V Y,ElectrostaticPotential_Vg=0.45V X,ElectrostaticPotential_Vg=0.45V Y,ElectrostaticPotential_Vg=0.6V X,ElectrostaticPotential_Vg=0.6V Y,ElectrostaticPotential_Vg=0V X,ElectrostaticPotential_Vg=0V Y
-0.0029935178,0.15236599,-0.0029935178,0.2985478,-0.0029935178,0.44353685,-0.0029935178,0.57084834,-0.0029935178,0.0058556253
-0.0029882812,0.15247527,-0.0029882812,0.29861773,-0.0029882812,0.44355517,-0.0029882812,0.57063225,-0.0029882812,0.0060008706
-0.0029349241,0.15357868,-0.0029349241,0.29932325,-0.0029349241,0.44373759,-0.0029349241,0.56842725,-0.0029349241,0.0074679322
-0.0029296875,0.15368763,-0.0029296875,0.29939297,-0.0029296875,0.44375583,-0.0029296875,0.56821116,-0.0029296875,0.0076127351
-0.0028763304,0.15478729,-0.0028763304,0.30009609,-0.0028763304,0.44393735,-0.0028763304,0.56600615,-0.0028763304,0.0090748073
-0.0028710938,0.15489587,-0.0028710938,0.30016557,-0.0028710938,0.4439555,-0.0028710938,0.56579005,-0.0028710938,0.0092191177
-0.0028177367,0.1559914,-0.0028177367,0.30086605,-0.0028177367,0.44413603,-0.0028177367,0.56358503,-0.0028177367,0.010675694
-0.0028125001,0.15609957,-0.0028125001,0.30093527,-0.0028125001,0.44415409,-0.0028125001,0.56336894,-0.0028125001,0.010819462
-0.0027591428,0.15719058,-0.0027591428,0.30163286,-0.0027591428,0.44433354,-0.0027591428,0.56116391,-0.0027591428,0.012270039
-0.0027539062,0.15729831,-0.0027539062,0.30170179,-0.0027539062,0.44435149,-0.0027539062,0.56094782,-0.0027539062,0.012413215
-0.0027005491,0.15838443,-0.0027005491,0.30239625,-0.0027005491,0.44452977,-0.0027005491,0.55874277,-0.0027005491,0.01385729
-0.0026953125,0.15849167,-0.0026953125,0.30246488,-0.0026953125,0.44454761,-0.0026953125,0.55852668,-0.0026953125,0.013999824
-0.0026419554,0.15957253,-0.0026419554,0.30315597,-0.0026419554,0.44472464,-0.0026419554,0.55632163,-0.0026419554,0.015436897
-0.0026367188,0.15967925,-0.0026367188,0.30322427,-0.0026367188,0.44474234,-0.0026367188,0.55610553,-0.0026367188,0.01557874
-0.0025833617,0.16075446,-0.0025833617,0.30391175,-0.0025833617,0.44491803,-0.0025833617,0.55390046,-0.0025833617,0.017008314
-0.0025781251,0.16086063,-0.0025781251,0.30397969,-0.0025781251,0.4449356,-0.0025781251,0.55368437,-0.0025781251,0.017149417
-0.0025247678,0.16192983,-0.0025247678,0.30466332,-0.0025247678,0.44510985,-0.0025247678,0.55147929,-0.0025247678,0.018570996
-0.0025195312,0.1620354,-0.0025195312,0.30473088,-0.0025195312,0.44512728,-0.0025195312,0.55126319,-0.0025195312,0.01871131
-0.0025017455,0.16239038,-0.0025017455,0.30495785,-0.0025017455,0.44518502,-0.0025017455,0.55052816,-0.0025017455,0.019183284
-0.0024999999,0.16242544,-0.0024999999,0.30498028,-0.0024999999,0.4451908,-0.0024999999,0.55045613,-0.0024999999,0.019229869
-0.0024999999,0.16242544,-0.0024999999,0.30498028,-0.0024999999,0.4451908,-0.0024999999,0.55045613,-0.0024999999,0.019229869
-0.0024644285,0.1626604,-0.0024644285,0.30513052,-0.0024644285,0.4452289,-0.0024644285,0.54996625,-0.0024644285,0.019542277
-0.0024609375,0.16268361,-0.0024609375,0.30514537,-0.0024609375,0.44523271,-0.0024609375,0.54991824,-0.0024609375,0.019573112
-0.0023542233,0.16337096,-0.0023542233,0.30558485,-0.0023542233,0.4453429,-0.0023542233,0.54845094,-0.0023542233,0.020486995
-0.0023437501,0.16343883,-0.0023437501,0.30562828,-0.0023437501,0.44535393,-0.0023437501,0.54830715,-0.0023437501,0.020577197
-0.0021303217,0.16473169,-0.0021303217,0.30645492,-0.0021303217,0.44555564,-0.0021303217,0.54539741,-0.0021303217,0.022296127
-0.0021093751,0.16485935,-0.0021093751,0.30653661,-0.0021093751,0.44557584,-0.0021093751,0.54511225,-0.0021093751,0.022465791
-0.0018959466,0.16603591,-0.0018959466,0.30728889,-0.0018959466,0.44575233,-0.0018959466,0.54227933,-0.0018959466,0.024030074
-0.001875,0.16615209,-0.001875,0.30736323,-0.001875,0.44577002,-0.001875,0.54200169,-0.001875,0.024184478
-0.0016615716,0.16720578,-0.0016615716,0.30803697,-0.0016615716,0.44592187,-0.0016615716,0.53930988,-0.0016615716,0.025585388
-0.0016406249,0.16730984,-0.0016406249,0.30810356,-0.0016406249,0.44593711,-0.0016406249,0.53904605,-0.0016406249,0.025723683
-0.0014271967,0.16823466,-0.0014271967,0.3086949,-0.0014271967,0.44606535,-0.0014271967,0.53656536,-0.0014271967,0.026953217
-0.0014062501,0.16832603,-0.0014062501,0.30875337,-0.0014062501,0.44607825,-0.0014062501,0.53632214,-0.0014062501,0.027074662
-0.0011928217,0.1691161,-0.0011928217,0.30925858,-0.0011928217,0.446184,-0.0011928217,0.53411961,-0.0011928217,0.028125025
-0.001171875,0.16919437,-0.001171875,0.30930867,-0.001171875,0.44619469,-0.001171875,0.53390336,-0.001171875,0.028229043
-0.00095844659,0.16984234,-0.00095844659,0.30972306,-0.00095844659,0.44627868,-0.00095844659,0.53203933,-0.00095844659,0.029090467
-0.00093749998,0.16990736,-0.00093749998,0.30976467,-0.00093749998,0.44628733,-0.00093749998,0.53185512,-0.00093749998,0.029176873
-0.00051064318,0.17073051,-0.00051064318,0.31029125,-0.00051064318,0.44638793,-0.00051064318,0.52934984,-0.00051064318,0.030271103
-0.00046874999,0.17082325,-0.00046874999,0.31035062,-0.00046874999,0.44640089,-0.00046874999,0.52910626,-0.00046874999,0.030394335
-2.0946607e-05,0.1711347,-2.0946607e-05,0.31055019,-2.0946607e-05,0.44644039,-2.0946607e-05,0.52818287,-2.0946607e-05,0.030808198
0,0.17114959,0,0.31055975,0,0.44644237,0,0.52813979,0,0.030827969
0.00044780338,0.17083872,0.00044780338,0.31036151,0.00044780338,0.44640552,0.00044780338,0.52906507,0.00044780338,0.030414424
0.00046874999,0.17082386,0.00046874999,0.31035202,0.00046874999,0.44640367,0.00046874999,0.52910828,0.00046874999,0.030394668
0.00051064318,0.17073117,0.00051064318,0.31029275,0.00051064318,0.44639091,0.00051064318,0.52935204,0.00051064318,0.03027146
0.00093749998,0.1699085,0.00093749998,0.30976728,0.00093749998,0.44629249,0.00093749998,0.53185938,0.00093749998,0.029177495
0.0011509284,0.16926072,0.0011509284,0.30935334,0.0011509284,0.44620936,0.0011509284,0.5337242,0.0011509284,0.028316175
0.001171875,0.16919572,0.001171875,0.30931176,0.001171875,0.44620079,0.001171875,0.53390848,0.001171875,0.028229778
0.0013853034,0.16840581,0.0013853034,0.3088069,0.0013853034,0.44609571,0.0013853034,0.53611164,0.0013853034,0.027179497
0.0014062501,0.16832755,0.0014062501,0.30875684,0.0014062501,0.44608509,0.0014062501,0.53632794,0.0014062501,0.027075487
0.0016196783,0.16740285,0.0016196783,0.30816575,0.0016196783,0.44595734,0.0016196783,0.53880906,0.0016196783,0.025846011
0.0016406249,0.16731148,0.0016406249,0.3081073,0.0016406249,0.44594449,0.0016406249,0.53905232,0.0016406249,0.025724573
0.0018540533,0.16625784,0.0018540533,0.3074337,0.0018540533,0.44579292,0.0018540533,0.54174435,0.0018540533,0.024323695
0.001875,0.16615379,0.001875,0.30736713,0.001875,0.4457777,0.001875,0.5420082,0.001875,0.024185404
0.0020884285,0.16497724,0.0020884285,0.30661488,0.0020884285,0.44560126,0.0020884285,0.54484111,0.0020884285,0.022621128
0.0021093751,0.16486106,0.0021093751,0.30654053,0.0021093751,0.44558357,0.0021093751,0.54511875,0.0021093751,0.022466725
0.0023228035,0.16356816,0.0023228035,0.30571381,0.0023228035,0.44538169,0.0023228035,0.54802822,0.0023228035,0.020747775
0.0023437501,0.1634405,0.0023437501,0.30563211,0.0023437501,0.44536147,0.0023437501,0.54831335,0.0023437501,0.020578109
0.0024504643,0.16275311,0.0024504643,0.30519255,0.0024504643,0.44525111,0.0024504643,0.54978042,0.0024504643,0.019664207
0.0024609375,0.16268524,0.0024609375,0.30514911,0.0024609375,0.44524006,0.0024609375,0.5499242,0.0024609375,0.019574002
0.0024965089,0.16245026,0.0024965089,0.30499884,0.0024965089,0.4452019,0.0024965089,0.55041403,0.0024965089,0.019261586
0.0024999999,0.16242705,0.0024999999,0.30498399,0.0024999999,0.44519808,0.0024999999,0.55046203,0.0024999999,0.01923075
0.0024999999,0.16242705,0.0024999999,0.30498399,0.0024999999,0.44519808,0.0024999999,0.55046203,0.0024999999,0.01923075
0.0025177856,0.16207205,0.0025177856,0.30475696,0.0025177856,0.44514023,0.0025177856,0.55119699,0.0025177856,0.018758763
0.0025195312,0.162037,0.0025195312,0.30473453,0.0025195312,0.44513445,0.0025195312,0.55126901,0.0025195312,0.018712177
0.0025728885,0.16096772,0.0025728885,0.30405073,0.0025728885,0.44495988,0.0025728885,0.55347386,0.0025728885,0.017290558
0.0025781251,0.16086214,0.0025781251,0.30398315,0.0025781251,0.44494241,0.0025781251,0.55368993,0.0025781251,0.017150241
0.0026314822,0.15978685,0.0026314822,0.3032955,0.0026314822,0.4447664,0.0026314822,0.55589475,0.0026314822,0.015720626
0.0026367188,0.15968068,0.0026367188,0.30322755,0.0026367188,0.44474879,0.0026367188,0.55611082,0.0026367188,0.01557952
0.0026900759,0.15859975,0.0026900759,0.30253628,0.0026900759,0.44457142,0.0026900759,0.55831561,0.0026900759,0.014142405
0.0026953125,0.15849302,0.0026953125,0.30246797,0.0026953125,0.44455368,0.0026953125,0.55853168,0.0026953125,0.014000558
0.0027486696,0.15740682,0.0027486696,0.30177333,0.0027486696,0.44437503,0.0027486696,0.56073645,0.0027486696,0.01255644
0.0027539062,0.15729957,0.0027539062,0.30170468,0.0027539062,0.44435717,0.0027539062,0.56095251,0.0027539062,0.012413901
0.0028072635,0.15620847,0.0028072635,0.3010069,0.0028072635,0.44417734,0.0028072635,0.56315726,0.0028072635,0.01096328
0.0028125001,0.15610074,0.0028125001,0.30093795,0.0028125001,0.44415936,0.0028125001,0.56337332,0.0028125001,0.0108201
0.0028658572,0.15500513,0.0028658572,0.30023728,0.0028658572,0.44397845,0.0028658572,0.56557804,0.0028658572,0.0093634779
0.0028710938,0.15489695,0.0028710938,0.30016804,0.0028710938,0.44396036,0.0028710938,0.56579411,0.0028710938,0.0092197055
0.0029244509,0.15379721,0.0029244509,0.29946473,0.0029244509,0.44377846,0.0029244509,0.56799881,0.0029244509,0.0077575867
0.0029296875,0.15368862,0.0029296875,0.29939523,0.0029296875,0.44376027,0.0029296875,0.56821487,0.0029296875,0.0076132718
0.0029830446,0.15258512,0.0029830446,0.29868951,0.0029830446,0.44357746,0.0029830446,0.57041955,0.0029830446,0.0061461625
0.0029882812,0.15247616,0.0029882812,0.29861977,0.0029882812,0.44355918,0.0029882812,0.57063561,0.0029882812,0.0060013551
0.0030416383,0.15136929,0.0030416383,0.29791189,0.0030416383,0.44337556,0.0030416383,0.57284028,0.0030416383,0.0045297633
0.0030468749,0.15126,0.0030468749,0.29784193,0.0030468749,0.4433572,0.0030468749,0.57305633,0.0030468749,0.0043845134
0.0031002322,0.15015014,0.0031002322,0.29713214,0.0031002322,0.44317286,0.0031002322,0.57526099,0.0031002322,0.0029089486
0.0031054688,0.15004055,0.0031054688,0.297062,0.0031054688,0.44315443,0.0031054688,0.57547704,0.0031054688,0.0027633066
0.0031588259,0.14892809,0.0031588259,0.29635053,0.0031588259,0.44296946,0.0031588259,0.57768169,0.0031588259,0.0012842797
0.0031640625,0.14881825,0.0031640625,0.29628023,0.0031640625,0.44295097,0.0031640625,0.57789774,0.0031640625,0.0011382959
0.0032174196,0.14770356,0.0032174196,0.29556734,0.0032174196,0.44276546,0.0032174196,0.58010237,0.0032174196,-0.00034368108
0.0032226562,0.1475935,0.0032226562,0.29549689,0.0032226562,0.44274692,0.0032226562,0.58031842,0.0032226562,-0.00048995604
0.0032760133,0.14647698,0.0032760133,0.29478284,0.0032760133,0.44256097,0.0032760133,0.58252305,0.0032760133,-0.0019743701
0.0032812499,0.14636674,0.0032812499,0.29471227,0.0032812499,0.44254238,0.0032812499,0.5827391,0.0032812499,-0.0021208855
0.0033346072,0.14524877,0.0033346072,0.29399729,0.0033346072,0.44235609,0.0033346072,0.58494371,0.0033346072,-0.0036072227
0.0033398438,0.14513838,0.0033398438,0.29392663,0.0033398438,0.44233746,0.0033398438,0.58515976,0.0033398438,-0.003753928
0.0033932009,0.14401936,0.0033932009,0.29321097,0.0033932009,0.44215091,0.0033932009,0.58736437,0.0033932009,-0.0052416736
0.0033984375,0.14390887,0.0033984375,0.29314024,0.0033984375,0.44213226,0.0033984375,0.58758042,0.0033984375,-0.0053885179
0.0034517946,0.14278917,0.0034517946,0.29242415,0.0034517946,0.44194555,0.0034517946,0.58978503,0.0034517946,-0.0068771569
0.0034570312,0.14267861,0.0034570312,0.29235338,0.0034570312,0.44192689,0.0034570312,0.59000108,0.0034570312,-0.0070240894
0.0034961598,0.14185732,0.0034961598,0.29182813,0.0034961598,0.44178992,0.0034961598,0.59161779,0.0034961598,-0.0081159983
0.0035000001,0.14177623,0.0035000001,0.29177623,0.0035000001,0.44177623,0.0035000001,0.59177623,0.0035000001,-0.0082237725

