ElectrostaticPotential_Vg=0.15V X,ElectrostaticPotential_Vg=0.15V Y,ElectrostaticPotential_Vg=0.3V X,ElectrostaticPotential_Vg=0.3V Y,ElectrostaticPotential_Vg=0.45V X,ElectrostaticPotential_Vg=0.45V Y,ElectrostaticPotential_Vg=0.6V X,ElectrostaticPotential_Vg=0.6V Y,ElectrostaticPotential_Vg=0V X,ElectrostaticPotential_Vg=0V Y
-0.0035000001,0.14177623,-0.0035000001,0.29177623,-0.0035000001,0.44177623,-0.0035000001,0.59177623,-0.0035000001,-0.0082237725
-0.0034608715,0.14259745,-0.0034608715,0.29230132,-0.0034608715,0.44191288,-0.0034608715,0.59015925,-0.0034608715,-0.0071319017
-0.0034570312,0.14267854,-0.0034570312,0.29235321,-0.0034570312,0.44192654,-0.0034570312,0.59000079,-0.0034570312,-0.0070241311
-0.0034036741,0.14379814,-0.0034036741,0.29306909,-0.0034036741,0.44211282,-0.0034036741,0.58779582,-0.0034036741,-0.005535544
-0.0033984375,0.14390869,-0.0033984375,0.29313983,-0.0033984375,0.44213145,-0.0033984375,0.58757973,-0.0033984375,-0.0053886164
-0.0033450804,0.14502762,-0.0033450804,0.29385528,-0.0033450804,0.44231757,-0.0033450804,0.58537476,-0.0033450804,-0.0039009225
-0.0033398438,0.1451381,-0.0033398438,0.29392598,-0.0033398438,0.44233618,-0.0033398438,0.58515868,-0.0033398438,-0.0037540831
-0.0032864865,0.14625597,-0.0032864865,0.29464075,-0.0032864865,0.44252205,-0.0032864865,0.5829537,-0.0032864865,-0.0022677973
-0.0032812499,0.14636635,-0.0032812499,0.29471138,-0.0032812499,0.44254063,-0.0032812499,0.58273762,-0.0032812499,-0.0021210969
-0.0032278928,0.14748277,-0.0032278928,0.29542523,-0.0032278928,0.44272616,-0.0032278928,0.58053264,-0.0032278928,-0.00063673393
-0.0032226562,0.14759301,-0.0032226562,0.29549577,-0.0032226562,0.4427447,-0.0032226562,0.58031656,-0.0032226562,-0.00049022331
-0.0031692991,0.1487076,-0.0031692991,0.29620844,-0.0031692991,0.44292979,-0.0031692991,0.57811158,-0.0031692991,0.00099170316
-0.0031640625,0.14881765,-0.0031640625,0.29627887,-0.0031640625,0.4429483,-0.0031640625,0.57789549,-0.0031640625,0.0011379733
-0.0031107054,0.14993003,-0.0031107054,0.29699012,-0.0031107054,0.44313285,-0.0031107054,0.5756905,-0.0031107054,0.0026169502
-0.0031054688,0.15003986,-0.0031054688,0.29706041,-0.0031054688,0.44315131,-0.0031054688,0.57547442,-0.0031054688,0.0027629292
-0.0030521115,0.15114963,-0.0030521115,0.29777,-0.0030521115,0.44333524,-0.0030521115,0.57326943,-0.0030521115,0.0042384447
-0.0030468749,0.15125921,-0.0030468749,0.29784012,-0.0030468749,0.44335363,-0.0030468749,0.57305334,-0.0030468749,0.0043840821
