X,eDensity Vg = 0V,eDensity Vg = 0.15V,eDensity Vg = 0.3V,eDensity Vg = 0.45V,eDensity Vg = 0.6V,eDensity Vg = 0.75V
-0.0035,0,0,0,0,0,0
-0.003457031,0,0,0,0,0,0
-0.003398438,0,0,0,0,0,0
-0.003339844,0,0,0,0,0,0
-0.00328125,0,0,0,0,0,0
-0.003222656,0,0,0,0,0,0
-0.003164063,0,0,0,0,0,0
-0.003105469,0,0,0,0,0,0
-0.003046875,0,0,0,0,0,0
-0.002988281,0,0,0,0,0,0
-0.002929688,0,0,0,0,0,0
-0.002871094,0,0,0,0,0,0
-0.0028125,0,0,0,0,0,0
-0.002753906,0,0,0,0,0,0
-0.002695313,0,0,0,0,0,0
-0.002636719,0,0,0,0,0,0
-0.002578125,0,0,0,0,0,0
-0.002519531,0,0,0,0,0,0
-0.0025,0,0,0,0,0,0
-0.0025,4091.3756,1354302.3,4.48E+08,1.48E+11,4.91E+13,1.29E+16
-0.002460938,5642.6695,1867797.8,6.18E+08,2.05E+11,6.77E+13,1.78E+16
-0.00234375,11994.188,3970217,1.31E+09,4.35E+11,1.44E+14,3.79E+16
-0.002109375,29796.03,9862817.6,3.27E+09,1.08E+12,3.58E+14,9.42E+16
-0.001875,55456.943,18356898,6.08E+09,2.01E+12,6.65E+14,1.75E+17
-0.001640625,84837.345,28082261,9.30E+09,3.08E+12,1.02E+15,2.67E+17
-0.00140625,114517.42,37906922,1.25E+10,4.15E+12,1.37E+15,3.59E+17
-0.001171875,141731.23,46915062,1.55E+10,5.14E+12,1.70E+15,4.43E+17
-0.0009375,166911.01,55248701,1.83E+10,6.05E+12,2.00E+15,5.20E+17
-0.00046875,194380.15,64339900,2.13E+10,7.05E+12,2.33E+15,6.04E+17
0,204208.16,67593095,2.24E+10,7.41E+12,2.45E+15,6.33E+17
0.00046875,194380.15,64342179,2.13E+10,7.05E+12,2.33E+15,6.04E+17
0.0009375,169360.27,56061439,1.86E+10,6.14E+12,2.03E+15,5.28E+17
0.001171875,141731.24,46915965,1.55E+10,5.14E+12,1.70E+15,4.43E+17
0.00140625,114517.42,37907640,1.25E+10,4.15E+12,1.37E+15,3.59E+17
0.001640625,84837.349,28082875,9.30E+09,3.08E+12,1.02E+15,2.67E+17
0.001875,55456.945,18357324,6.08E+09,2.01E+12,6.65E+14,1.75E+17
0.002109375,29796.031,9863037.3,3.27E+09,1.08E+12,3.58E+14,9.42E+16
0.00234375,12922.543,4277588.3,1.42E+09,4.69E+11,1.55E+14,4.08E+16
0.002460938,5938.355,1965693.7,6.51E+08,2.15E+11,7.13E+13,1.87E+16
0.0025,4091.3758,1354310.8,4.48E+08,1.48E+11,4.91E+13,1.29E+16
0.0025,0,0,0,0,0,0
0.002519531,0,0,0,0,0,0
0.002578125,0,0,0,0,0,0
0.002636719,0,0,0,0,0,0
0.002695313,0,0,0,0,0,0
0.002753906,0,0,0,0,0,0
0.0028125,0,0,0,0,0,0
0.002871094,0,0,0,0,0,0
0.002929688,0,0,0,0,0,0
0.002988281,0,0,0,0,0,0
0.003046875,0,0,0,0,0,0
0.003105469,0,0,0,0,0,0
0.003164063,0,0,0,0,0,0
0.003222656,0,0,0,0,0,0
0.00328125,0,0,0,0,0,0
0.003339844,0,0,0,0,0,0
0.003398438,0,0,0,0,0,0
0.003457031,0,0,0,0,0,0
0.0035,0,0,0,0,0,0
