X,ElectrostaticPotential Vg = 0V,ElectrostaticPotential Vg = 0.15V,ElectrostaticPotential Vg = 0.3V,ElectrostaticPotential Vg = 0.45V,ElectrostaticPotential Vg = 0.6V,ElectrostaticPotential Vg = 0.75V
-0.0035,-0.27422377,-0.12422377,0.025776227,0.17577623,0.32577623,0.47577623
-0.003457031,-0.27422419,-0.12422427,0.025775729,0.17577573,0.32577501,0.47558879
-0.003398438,-0.27422475,-0.12422495,0.025775049,0.17577504,0.32577335,0.4753332
-0.003339844,-0.27422532,-0.12422563,0.02577437,0.17577436,0.32577169,0.47507761
-0.00328125,-0.27422588,-0.12422631,0.02577369,0.17577368,0.32577003,0.47482201
-0.003222656,-0.27422645,-0.12422699,0.02577301,0.175773,0.32576837,0.47456642
-0.003164063,-0.27422702,-0.12422767,0.025772331,0.17577231,0.32576671,0.47431083
-0.003105469,-0.27422758,-0.12422835,0.025771651,0.17577163,0.32576505,0.47405524
-0.003046875,-0.27422815,-0.12422903,0.025770971,0.17577095,0.32576339,0.47379964
-0.002988281,-0.27422871,-0.12422971,0.025770292,0.17577027,0.32576173,0.47354405
-0.002929688,-0.27422928,-0.12423038,0.025769612,0.17576958,0.32576007,0.47328846
-0.002871094,-0.27422984,-0.12423106,0.025768932,0.1757689,0.32575841,0.47303286
-0.0028125,-0.27423041,-0.12423174,0.025768253,0.17576822,0.32575675,0.47277727
-0.002753906,-0.27423098,-0.12423242,0.025767573,0.17576754,0.32575509,0.47252168
-0.002695313,-0.27423154,-0.1242331,0.025766893,0.17576685,0.32575343,0.47226609
-0.002636719,-0.27423211,-0.12423378,0.025766214,0.17576617,0.32575177,0.47201049
-0.002578125,-0.27423267,-0.12423446,0.025765534,0.17576549,0.32575011,0.4717549
-0.002519531,-0.27423324,-0.12423514,0.025764854,0.1757648,0.32574845,0.47149931
-0.0025,-0.27423343,-0.12423537,0.025764628,0.17576458,0.32574789,0.47141411
-0.0025,-0.27423343,-0.12423537,0.025764628,0.17576458,0.32574789,0.47141411
-0.002460938,-0.27423355,-0.12423552,0.025764478,0.17576443,0.32574753,0.47135733
-0.00234375,-0.27423391,-0.12423595,0.025764043,0.17576399,0.32574644,0.47118725
-0.002109375,-0.27423457,-0.12423676,0.025763235,0.17576318,0.32574433,0.47084956
-0.001875,-0.27423514,-0.12423748,0.025762513,0.17576245,0.32574235,0.47051997
-0.001640625,-0.27423564,-0.12423812,0.025761876,0.17576181,0.3257405,0.47020532
-0.00140625,-0.27423606,-0.12423867,0.025761324,0.17576126,0.32573883,0.46991344
-0.001171875,-0.27423641,-0.12423913,0.025760857,0.17576079,0.32573735,0.46965218
-0.0009375,-0.27423669,-0.12423952,0.025760474,0.1757604,0.32573611,0.46942868
-0.00046875,-0.27423705,-0.12424003,0.025759964,0.17575989,0.32573439,0.46911456
0,-0.27423717,-0.1242402,0.025759795,0.17575972,0.3257338,0.46900592
0.00046875,-0.27423705,-0.12424003,0.025759964,0.17575989,0.32573438,0.46911277
0.0009375,-0.27423669,-0.12423952,0.025760474,0.1757604,0.32573609,0.46942508
0.001171875,-0.27423641,-0.12423913,0.025760857,0.17576079,0.32573734,0.46964863
0.00140625,-0.27423606,-0.12423867,0.025761324,0.17576126,0.32573881,0.46990994
0.001640625,-0.27423564,-0.12423812,0.025761876,0.17576181,0.32574049,0.47020185
0.001875,-0.27423514,-0.12423748,0.025762513,0.17576245,0.32574233,0.47051654
0.002109375,-0.27423457,-0.12423676,0.025763235,0.17576318,0.32574432,0.47084618
0.00234375,-0.27423391,-0.12423595,0.025764043,0.17576399,0.32574642,0.47118389
0.002460938,-0.27423355,-0.12423552,0.025764478,0.17576443,0.32574751,0.47135409
0.0025,-0.27423343,-0.12423537,0.025764628,0.17576458,0.32574788,0.47141091
0.0025,-0.27423343,-0.12423537,0.025764628,0.17576458,0.32574788,0.47141091
0.002519531,-0.27423324,-0.12423514,0.025764854,0.1757648,0.32574843,0.47149617
0.002578125,-0.27423267,-0.12423446,0.025765534,0.17576549,0.3257501,0.47175195
0.002636719,-0.27423211,-0.12423378,0.025766214,0.17576617,0.32575176,0.47200773
0.002695313,-0.27423154,-0.1242331,0.025766893,0.17576685,0.32575342,0.47226351
0.002753906,-0.27423097,-0.12423242,0.025767573,0.17576754,0.32575508,0.47251929
0.0028125,-0.27423041,-0.12423174,0.025768253,0.17576822,0.32575674,0.47277507
0.002871094,-0.27422984,-0.12423106,0.025768932,0.1757689,0.3257584,0.47303085
0.002929688,-0.27422928,-0.12423038,0.025769612,0.17576958,0.32576006,0.47328663
0.002988281,-0.27422871,-0.12422971,0.025770292,0.17577027,0.32576172,0.47354241
0.003046875,-0.27422815,-0.12422903,0.025770971,0.17577095,0.32576338,0.47379819
0.003105469,-0.27422758,-0.12422835,0.025771651,0.17577163,0.32576504,0.47405397
0.003164063,-0.27422702,-0.12422767,0.025772331,0.17577231,0.3257667,0.47430975
0.003222656,-0.27422645,-0.12422699,0.02577301,0.175773,0.32576837,0.47456553
0.00328125,-0.27422588,-0.12422631,0.02577369,0.17577368,0.32577003,0.47482131
0.003339844,-0.27422532,-0.12422563,0.02577437,0.17577436,0.32577169,0.47507709
0.003398438,-0.27422475,-0.12422495,0.025775049,0.17577504,0.32577335,0.47533287
0.003457031,-0.27422419,-0.12422427,0.025775729,0.17577573,0.32577501,0.47558866
0.0035,-0.27422377,-0.12422377,0.025776227,0.17577623,0.32577623,0.47577623
