ElectrostaticPotential_Vg=0.15V X,ElectrostaticPotential_Vg=0.15V Y,ElectrostaticPotential_Vg=0.3V X,ElectrostaticPotential_Vg=0.3V Y,ElectrostaticPotential_Vg=0.45V X,ElectrostaticPotential_Vg=0.45V Y,ElectrostaticPotential_Vg=0.6V X,ElectrostaticPotential_Vg=0.6V Y,ElectrostaticPotential_Vg=0.75V X,ElectrostaticPotential_Vg=0.75V Y,ElectrostaticPotential_Vg=0V X,ElectrostaticPotential_Vg=0V Y
0.0049999999,-0.12421526,0.0049999999,0.025777803,0.0049999999,0.1757704,0.0049999999,0.32569635,0.0049999999,0.46518659,0.0049999999,-0.27419991
0.0049999999,-0.12421526,0.0049999999,0.025777803,0.0049999999,0.1757704,0.0049999999,0.32569635,0.0049999999,0.46518659,0.0049999999,-0.27419991
0.0050781248,-0.12421589,0.0050781248,0.025777703,0.0050781248,0.17577087,0.0050781248,0.3257026,0.0050781248,0.4660139,0.0050781248,-0.27420174
0.0051562502,-0.12421653,0.0051562502,0.025777598,0.0051562502,0.17577134,0.0051562502,0.32570885,0.0051562502,0.46684122,0.0051562502,-0.27420358
0.0052343751,-0.12421718,0.0052343751,0.025777488,0.0052343751,0.1757718,0.0052343751,0.32571509,0.0052343751,0.46766854,0.0052343751,-0.27420542
0.0053125001,-0.12421784,0.0053125001,0.025777373,0.0053125001,0.17577227,0.0053125001,0.32572134,0.0053125001,0.46849585,0.0053125001,-0.27420727
0.005390625,-0.1242185,0.005390625,0.025777253,0.005390625,0.17577272,0.005390625,0.32572758,0.005390625,0.46932317,0.005390625,-0.27420913
0.0054687499,-0.12421916,0.0054687499,0.02577713,0.0054687499,0.17577318,0.0054687499,0.32573382,0.0054687499,0.47015048,0.0054687499,-0.274211
0.0055468748,-0.12421983,0.0055468748,0.025777003,0.0055468748,0.17577363,0.0055468748,0.32574006,0.0055468748,0.4709778,0.0055468748,-0.27421287
0.0056250002,-0.12422051,0.0056250002,0.025776873,0.0056250002,0.17577408,0.0056250002,0.3257463,0.0056250002,0.47180511,0.0056250002,-0.27421474
0.0057031251,-0.12422118,0.0057031251,0.025776742,0.0057031251,0.17577453,0.0057031251,0.32575253,0.0057031251,0.47263243,0.0057031251,-0.27421662
0.0057812501,-0.12422186,0.0057812501,0.025776608,0.0057812501,0.17577498,0.0057812501,0.32575877,0.0057812501,0.47345974,0.0057812501,-0.2742185
0.005859375,-0.12422254,0.005859375,0.025776473,0.005859375,0.17577542,0.005859375,0.325765,0.005859375,0.47428706,0.005859375,-0.27422038
0.0059374999,-0.12422323,0.0059374999,0.025776337,0.0059374999,0.17577587,0.0059374999,0.32577124,0.0059374999,0.47511438,0.0059374999,-0.27422226
0.0060000001,-0.12422377,0.0060000001,0.025776227,0.0060000001,0.17577623,0.0060000001,0.32577623,0.0060000001,0.47577623,0.0060000001,-0.27422377

