ElectrostaticPotential_Vg=0.15V X,ElectrostaticPotential_Vg=0.15V Y,ElectrostaticPotential_Vg=0.3V X,ElectrostaticPotential_Vg=0.3V Y,ElectrostaticPotential_Vg=0.45V X,ElectrostaticPotential_Vg=0.45V Y,ElectrostaticPotential_Vg=0.6V X,ElectrostaticPotential_Vg=0.6V Y,ElectrostaticPotential_Vg=0.75V X,ElectrostaticPotential_Vg=0.75V Y,ElectrostaticPotential_Vg=0V X,ElectrostaticPotential_Vg=0V Y
-0.0035000001,-0.12422377,-0.0035000001,0.025776227,-0.0035000001,0.17577623,-0.0035000001,0.32577623,-0.0035000001,0.47577623,-0.0035000001,-0.27422377
-0.0034902785,-0.12422388,-0.0034902785,0.025776117,-0.0034902785,0.17577612,-0.0034902785,0.32577595,-0.0034902785,0.47573382,-0.0034902785,-0.27422386
-0.0034570312,-0.12422426,-0.0034570312,0.025775737,-0.0034570312,0.17577573,-0.0034570312,0.32577501,-0.0034570312,0.47558879,-0.0034570312,-0.27422418
-0.0034437745,-0.12422441,-0.0034437745,0.025775587,-0.0034437745,0.17577558,-0.0034437745,0.32577464,-0.0034437745,0.47553097,-0.0034437745,-0.2742243
-0.0033984375,-0.12422493,-0.0033984375,0.025775068,-0.0033984375,0.17577506,-0.0033984375,0.32577336,-0.0033984375,0.4753332,-0.0033984375,-0.27422473
-0.0033851808,-0.12422508,-0.0033851808,0.025774917,-0.0033851808,0.17577491,-0.0033851808,0.32577298,-0.0033851808,0.47527537,-0.0033851808,-0.27422485
-0.0033398438,-0.12422559,-0.0033398438,0.025774399,-0.0033398438,0.17577438,-0.0033398438,0.3257717,-0.0033398438,0.47507761,-0.0033398438,-0.27422528
-0.0033265871,-0.12422574,-0.0033265871,0.025774248,-0.0033265871,0.17577423,-0.0033265871,0.32577133,-0.0033265871,0.47501978,-0.0033265871,-0.2742254
-0.0032812499,-0.12422626,-0.0032812499,0.02577373,-0.0032812499,0.17577371,-0.0032812499,0.32577005,-0.0032812499,0.47482202,-0.0032812499,-0.27422583
-0.0032679932,-0.12422641,-0.0032679932,0.025773579,-0.0032679932,0.17577356,-0.0032679932,0.32576967,-0.0032679932,0.47476419,-0.0032679932,-0.27422595
-0.0032226562,-0.12422693,-0.0032226562,0.02577306,-0.0032226562,0.17577303,-0.0032226562,0.32576839,-0.0032226562,0.47456642,-0.0032226562,-0.27422638
-0.0032093995,-0.12422707,-0.0032093995,0.02577291,-0.0032093995,0.17577288,-0.0032093995,0.32576802,-0.0032093995,0.4745086,-0.0032093995,-0.2742265
-0.0031640625,-0.12422759,-0.0031640625,0.025772391,-0.0031640625,0.17577236,-0.0031640625,0.32576673,-0.0031640625,0.47431083,-0.0031640625,-0.27422693
-0.0031508058,-0.12422774,-0.0031508058,0.025772241,-0.0031508058,0.17577221,-0.0031508058,0.32576636,-0.0031508058,0.474253,-0.0031508058,-0.27422705
-0.0031054688,-0.12422826,-0.0031054688,0.025771722,-0.0031054688,0.17577168,-0.0031054688,0.32576508,-0.0031054688,0.47405524,-0.0031054688,-0.27422748
-0.0030922121,-0.12422841,-0.0030922121,0.025771572,-0.0030922121,0.17577153,-0.0030922121,0.32576471,-0.0030922121,0.47399741,-0.0030922121,-0.2742276
-0.0030468749,-0.12422892,-0.0030468749,0.025771053,-0.0030468749,0.17577101,-0.0030468749,0.32576342,-0.0030468749,0.47379964,-0.0030468749,-0.27422803
-0.0030336182,-0.12422907,-0.0030336182,0.025770903,-0.0030336182,0.17577086,-0.0030336182,0.32576305,-0.0030336182,0.47374182,-0.0030336182,-0.27422815
-0.0029882812,-0.12422959,-0.0029882812,0.025770384,-0.0029882812,0.17577033,-0.0029882812,0.32576177,-0.0029882812,0.47354405,-0.0029882812,-0.27422858
-0.0029750245,-0.12422974,-0.0029750245,0.025770233,-0.0029750245,0.17577018,-0.0029750245,0.32576139,-0.0029750245,0.47348623,-0.0029750245,-0.2742287
-0.0029296875,-0.12423026,-0.0029296875,0.025769714,-0.0029296875,0.17576966,-0.0029296875,0.32576011,-0.0029296875,0.47328846,-0.0029296875,-0.27422913
-0.0029164308,-0.12423041,-0.0029164308,0.025769564,-0.0029164308,0.17576951,-0.0029164308,0.32575974,-0.0029164308,0.47323063,-0.0029164308,-0.27422925
-0.0028710938,-0.12423092,-0.0028710938,0.025769045,-0.0028710938,0.17576898,-0.0028710938,0.32575846,-0.0028710938,0.47303287,-0.0028710938,-0.27422968
-0.0028578371,-0.12423107,-0.0028578371,0.025768895,-0.0028578371,0.17576883,-0.0028578371,0.32575808,-0.0028578371,0.47297504,-0.0028578371,-0.2742298
-0.0028125001,-0.12423159,-0.0028125001,0.025768376,-0.0028125001,0.17576831,-0.0028125001,0.3257568,-0.0028125001,0.47277727,-0.0028125001,-0.27423023
-0.0027992434,-0.12423174,-0.0027992434,0.025768226,-0.0027992434,0.17576816,-0.0027992434,0.32575643,-0.0027992434,0.47271945,-0.0027992434,-0.27423035
-0.0027539062,-0.12423226,-0.0027539062,0.025767707,-0.0027539062,0.17576763,-0.0027539062,0.32575514,-0.0027539062,0.47252168,-0.0027539062,-0.27423078
-0.0027406495,-0.12423241,-0.0027406495,0.025767556,-0.0027406495,0.17576748,-0.0027406495,0.32575477,-0.0027406495,0.47246385,-0.0027406495,-0.2742309
-0.0026953125,-0.12423292,-0.0026953125,0.025767037,-0.0026953125,0.17576696,-0.0026953125,0.32575349,-0.0026953125,0.47226609,-0.0026953125,-0.27423133
-0.0026820558,-0.12423307,-0.0026820558,0.025766887,-0.0026820558,0.17576681,-0.0026820558,0.32575311,-0.0026820558,0.47220826,-0.0026820558,-0.27423145
-0.0026367188,-0.12423359,-0.0026367188,0.025766368,-0.0026367188,0.17576628,-0.0026367188,0.32575183,-0.0026367188,0.4720105,-0.0026367188,-0.27423188
-0.0026234621,-0.12423374,-0.0026234621,0.025766217,-0.0026234621,0.17576613,-0.0026234621,0.32575146,-0.0026234621,0.47195267,-0.0026234621,-0.274232
-0.0025781251,-0.12423426,-0.0025781251,0.025765698,-0.0025781251,0.17576561,-0.0025781251,0.32575018,-0.0025781251,0.4717549,-0.0025781251,-0.27423243
-0.0025648684,-0.12423441,-0.0025648684,0.025765548,-0.0025648684,0.17576546,-0.0025648684,0.3257498,-0.0025648684,0.47169708,-0.0025648684,-0.27423256
-0.0025195312,-0.12423492,-0.0025195312,0.025765029,-0.0025195312,0.17576493,-0.0025195312,0.32574852,-0.0025195312,0.47149931,-0.0025195312,-0.27423298
-0.0025151123,-0.12423497,-0.0025151123,0.025764978,-0.0025151123,0.17576488,-0.0025151123,0.3257484,-0.0025151123,0.47148004,-0.0025151123,-0.27423302
-0.0024999999,-0.12423514,-0.0024999999,0.025764805,-0.0024999999,0.17576471,-0.0024999999,0.32574797,-0.0024999999,0.47141411,-0.0024999999,-0.27423317
-0.0024999999,-0.12423514,-0.0024999999,0.025764805,-0.0024999999,0.17576471,-0.0024999999,0.32574797,-0.0024999999,0.47141411,-0.0024999999,-0.27423317
-0.0024911622,-0.12423518,-0.0024911622,0.025764772,-0.0024911622,0.17576467,-0.0024911622,0.32574789,-0.0024911622,0.47140127,-0.0024911622,-0.27423319
-0.0024609375,-0.12423529,-0.0024609375,0.025764658,-0.0024609375,0.17576456,-0.0024609375,0.3257476,-0.0024609375,0.47135733,-0.0024609375,-0.27423329
-0.0024344241,-0.12423539,-0.0024344241,0.025764561,-0.0024344241,0.17576446,-0.0024344241,0.32574736,-0.0024344241,0.47131885,-0.0024344241,-0.27423337
-0.0023437501,-0.12423572,-0.0023437501,0.025764229,-0.0023437501,0.17576413,-0.0023437501,0.32574652,-0.0023437501,0.47118725,-0.0023437501,-0.27423364
-0.0022907236,-0.1242359,-0.0022907236,0.02576405,-0.0022907236,0.17576394,-0.0022907236,0.32574604,-0.0022907236,0.47111085,-0.0022907236,-0.27423378
-0.0021093751,-0.12423651,-0.0021093751,0.025763434,-0.0021093751,0.17576332,-0.0021093751,0.32574442,-0.0021093751,0.47084957,-0.0021093751,-0.27423428
-0.0020563484,-0.12423667,-0.0020563484,0.025763274,-0.0020563484,0.17576316,-0.0020563484,0.32574397,-0.0020563484,0.470775,-0.0020563484,-0.2742344
-0.001875,-0.12423722,-0.001875,0.025762723,-0.001875,0.17576261,-0.001875,0.32574244,-0.001875,0.47051997,-0.001875,-0.27423484
-0.0018219734,-0.12423736,-0.0018219734,0.025762582,-0.0018219734,0.17576246,-0.0018219734,0.32574202,-0.0018219734,0.47044878,-0.0018219734,-0.27423494
-0.0016406249,-0.12423784,-0.0016406249,0.025762096,-0.0016406249,0.17576197,-0.0016406249,0.32574059,-0.0016406249,0.47020533,-0.0016406249,-0.27423532
-0.0015875984,-0.12423796,-0.0015875984,0.025761974,-0.0015875984,0.17576185,-0.0015875984,0.32574022,-0.0015875984,0.47013929,-0.0015875984,-0.27423541
-0.0014062501,-0.12423838,-0.0014062501,0.025761552,-0.0014062501,0.17576142,-0.0014062501,0.32573892,-0.0014062501,0.46991345,-0.0014062501,-0.27423573
-0.0013532235,-0.12423849,-0.0013532235,0.025761449,-0.0013532235,0.17576132,-0.0013532235,0.32573859,-0.0013532235,0.46985434,-0.0013532235,-0.2742358
-0.001171875,-0.12423884,-0.001171875,0.025761092,-0.001171875,0.17576096,-0.001171875,0.32573745,-0.001171875,0.46965219,-0.001171875,-0.27423606
-0.0011188484,-0.12423892,-0.0011188484,0.025761008,-0.0011188484,0.17576087,-0.0011188484,0.32573717,-0.0011188484,0.46960162,-0.0011188484,-0.27423612
-0.00093749998,-0.12423922,-0.00093749998,0.025760716,-0.00093749998,0.17576058,-0.00093749998,0.32573621,-0.00093749998,0.46942868,-0.00093749998,-0.27423633
-0.00083144684,-0.12423933,-0.00083144684,0.025760604,-0.00083144684,0.17576046,-0.00083144684,0.32573582,-0.00083144684,0.46935762,-0.00083144684,-0.27423641
-0.00046874999,-0.12423971,-0.00046874999,0.025760215,-0.00046874999,0.17576007,-0.00046874999,0.32573449,-0.00046874999,0.46911457,-0.00046874999,-0.27423668
-0.00036269682,-0.12423975,-0.00036269682,0.025760177,-0.00036269682,0.17576003,-0.00036269682,0.32573436,-0.00036269682,0.46908999,-0.00036269682,-0.27423671
0,-0.12423988,0,0.025760048,0,0.1757599,0,0.32573391,0,0.46900593,0,-0.2742368
0.00010605316,-0.12423984,0.00010605316,0.025760085,0.00010605316,0.17575994,0.00010605316,0.32573404,0.00010605316,0.4690301,0.00010605316,-0.27423677
0.00046874999,-0.12423971,0.00046874999,0.025760215,0.00046874999,0.17576007,0.00046874999,0.32573449,0.00046874999,0.46911278,0.00046874999,-0.27423668
0.00057480315,-0.1242396,0.00057480315,0.025760327,0.00057480315,0.17576018,0.00057480315,0.32573487,0.00057480315,0.46918344,0.00057480315,-0.2742366
0.00093749998,-0.12423922,0.00093749998,0.025760716,0.00093749998,0.17576058,0.00093749998,0.3257362,0.00093749998,0.46942509,0.00093749998,-0.27423633
0.00099052652,-0.12423913,0.00099052652,0.025760801,0.00099052652,0.17576066,0.00099052652,0.32573648,0.00099052652,0.46947567,0.00099052652,-0.27423627
0.001171875,-0.12423884,0.001171875,0.025761092,0.001171875,0.17576096,0.001171875,0.32573744,0.001171875,0.46964864,0.001171875,-0.27423606
0.0012249016,-0.12423874,0.0012249016,0.025761196,0.0012249016,0.17576106,0.0012249016,0.32573777,0.0012249016,0.46970776,0.0012249016,-0.27423599
0.0014062501,-0.12423838,0.0014062501,0.025761552,0.0014062501,0.17576142,0.0014062501,0.32573891,0.0014062501,0.46990994,0.0014062501,-0.27423572
0.0014592767,-0.12423826,0.0014592767,0.025761674,0.0014592767,0.17576155,0.0014592767,0.32573929,0.0014592767,0.46997599,0.0014592767,-0.27423563
0.0016406249,-0.12423784,0.0016406249,0.025762096,0.0016406249,0.17576197,0.0016406249,0.32574058,0.0016406249,0.47020186,0.0016406249,-0.27423532
0.0016936515,-0.1242377,0.0016936515,0.025762237,0.0016936515,0.17576211,0.0016936515,0.325741,0.0016936515,0.47027306,0.0016936515,-0.27423521
0.001875,-0.12423722,0.001875,0.025762723,0.001875,0.17576261,0.001875,0.32574242,0.001875,0.47051655,0.001875,-0.27423483
