Surface Bias =  -0.47804926, 	, 	 
Distance along fin(cm), Electron Density(per cm3), Hole Density(per cm3)
  0.00000058,  60.42483786, 2152654932672355840.00000000 
  0.00000059,  58.20472615, 2037309589543135488.00000000 
  0.00000060,  55.88761796, 1919979342281419008.00000000 
  0.00000061,  53.48267404, 1801486295184286464.00000000 
  0.00000062,  50.99946359, 1682631192480674048.00000000 
  0.00000063,  48.44795557, 1564185793638729472.00000000 
  0.00000064,  45.83851401, 1446886018916427008.00000000 
  0.00000065,  43.18189738, 1331425938133720320.00000000 
  0.00000066,  40.48926214, 1218452656469880064.00000000 
  0.00000067,  37.77217016, 1108562132068651520.00000000 
  0.00000068,  35.04259973, 1002295941846804992.00000000 
  0.00000069,  32.31295976, 900138994583379328.00000000 
  0.00000070,  29.59610608, 802518174500109312.00000000 
  0.00000071,  26.90535915, 709801884455864448.00000000 
  0.00000072,  24.25452145, 622300445843152640.00000000 
  0.00000073,  21.65789311, 540267302518439040.00000000 
  0.00000074,  19.13028326, 463900968808671680.00000000 
  0.00000075,  16.68701464, 393347656983684608.00000000 
  0.00000076,  14.34391790, 328704517747248832.00000000 
  0.00000077,  12.11731138, 270023428511773312.00000000 
  0.00000078,  10.02396121, 217315268842213216.00000000 
  0.00000079,   8.08101523, 170554631091290688.00000000 
  0.00000080,   6.30590241, 129684927977669360.00000000 
  0.00000081,   4.71618737, 94623879654186000.00000000 
  0.00000082,   3.32936613, 65269394431189880.00000000 
  0.00000083,   2.16258424, 41505907319026864.00000000 
  0.00000084,   1.23225024, 23211325416676512.00000000 
  0.00000085,   0.55350156, 10264889344880970.00000000 
  0.00000086,   0.13944595, 2556614260335355.00000000 
  0.00000087,   0.00000000,   0.00000000 
Surface Bias =  -0.52359714, 	, 	 
Distance along fin(cm), Electron Density(per cm3), Hole Density(per cm3)
  0.00000000,   0.00000000,   0.00000000 
  0.00000001,   0.05655550, 4932206064699564.00000000 
  0.00000002,   0.22477438, 19813810469457812.00000000 
  0.00000003,   0.50141473, 44845008014267520.00000000 
  0.00000004,   0.88231841, 80293584602926368.00000000 
  0.00000005,   1.36278784, 126469424866551584.00000000 
  0.00000006,   1.93780840, 183704997167159648.00000000 
  0.00000007,   2.60218814, 252338569222815584.00000000 
  0.00000008,   3.35064545, 332698845283467968.00000000 
  0.00000009,   4.17786185, 425090397906682752.00000000 
  0.00000010,   5.07851045, 529779585609910208.00000000 
  0.00000011,   6.04726714, 646980824729997952.00000000 
  0.00000012,   7.07880969, 776843195690093568.00000000 
  0.00000013,   8.16780862, 919437441500660096.00000000 
  0.00000014,   9.30891259, 1074743473749237504.00000000 
  0.00000015,  10.49673075, 1242638545328448512.00000000 
  0.00000016,  11.72581390, 1422886283008740608.00000000 
  0.00000017,  12.99063580, 1615126798195051008.00000000 
  0.00000018,  14.28557606, 1818868111372167168.00000000 
  0.00000019,  15.60490554, 2033479134884646144.00000000 
  0.00000020,  16.94277519, 2258184459601504000.00000000 
  0.00000021,  18.29320896, 2492061183384469504.00000000 
  0.00000022,  19.65010150, 2734038002844582912.00000000 
  0.00000023,  21.00722097, 2982896764490880512.00000000 
  0.00000024,  22.35821749, 3237276637096484864.00000000 
  0.00000025,  23.69663720, 3495681024231107072.00000000 
  0.00000026,  25.01594228, 3756487285026850816.00000000 
  0.00000027,  26.30953675, 4017959273267886080.00000000 
  0.00000028,  27.57079785, 4278262641067323904.00000000 
  0.00000029,  28.79311287, 4535482785284806144.00000000 
  0.00000030,  29.96992079, 4787645244315915264.00000000 
  0.00000031,  31.09475826, 5032738282076764160.00000000 
  0.00000032,  32.16130925, 5268737327238089728.00000000 
  0.00000033,  33.16345742, 5493630871473404928.00000000 
  0.00000034,  34.09534047, 5705447373140731904.00000000 
  0.00000035,  34.95140528, 5902282664802434048.00000000 
  0.00000036,  35.72646292, 6082327326499641344.00000000 
  0.00000037,  36.41574226, 6243893463634870272.00000000 
  0.00000038,  37.01494128, 6385440320175923200.00000000 
  0.00000039,  37.52027473, 6505598165680699392.00000000 
  0.00000040,  37.92851728, 6603189918797178880.00000000 
  0.00000041,  38.23704111, 6677250010244401152.00000000 
  0.00000042,  38.44384706, 6727040044025602048.00000000 
  0.00000043,  38.54758872, 6752060885339752448.00000000 
  0.00000044,  38.54758872, 6752060885339752448.00000000 
  0.00000045,  38.44384706, 6727040044025602048.00000000 
  0.00000046,  38.23704111, 6677250010244401152.00000000 
  0.00000047,  37.92851728, 6603189918797178880.00000000 
  0.00000048,  37.52027473, 6505598165680699392.00000000 
  0.00000049,  37.01494128, 6385440320175925248.00000000 
  0.00000050,  36.41574226, 6243893463634872320.00000000 
  0.00000051,  35.72646292, 6082327326499642368.00000000 
  0.00000052,  34.95140528, 5902282664802436096.00000000 
  0.00000053,  34.09534047, 5705447373140732928.00000000 
  0.00000054,  33.16345742, 5493630871473405952.00000000 
  0.00000055,  32.16130925, 5268737327238090752.00000000 
  0.00000056,  31.09475826, 5032738282076765184.00000000 
  0.00000057,  29.96992079, 4787645244315916288.00000000 
  0.00000058,  28.79311287, 4535482785284807680.00000000 
  0.00000059,  27.57079785, 4278262641067325440.00000000 
  0.00000060,  26.30953675, 4017959273267887616.00000000 
  0.00000061,  25.01594228, 3756487285026851840.00000000 
  0.00000062,  23.69663720, 3495681024231107584.00000000 
  0.00000063,  22.35821749, 3237276637096484864.00000000 
  0.00000064,  21.00722097, 2982896764490881536.00000000 
  0.00000065,  19.65010150, 2734038002844583936.00000000 
  0.00000066,  18.29320896, 2492061183384470016.00000000 
  0.00000067,  16.94277519, 2258184459601504000.00000000 
  0.00000068,  15.60490554, 2033479134884647168.00000000 
  0.00000069,  14.28557606, 1818868111372167936.00000000 
  0.00000070,  12.99063580, 1615126798195051008.00000000 
  0.00000071,  11.72581390, 1422886283008741120.00000000 
  0.00000072,  10.49673075, 1242638545328448512.00000000 
  0.00000073,   9.30891259, 1074743473749237504.00000000 
  0.00000074,   8.16780862, 919437441500660096.00000000 
  0.00000075,   7.07880969, 776843195690093568.00000000 
  0.00000076,   6.04726714, 646980824729997952.00000000 
  0.00000077,   5.07851045, 529779585609910208.00000000 
  0.00000078,   4.17786185, 425090397906682752.00000000 
  0.00000079,   3.35064545, 332698845283467968.00000000 
  0.00000080,   2.60218814, 252338569222815584.00000000 
  0.00000081,   1.93780840, 183704997167159648.00000000 
  0.00000082,   1.36278784, 126469424866551584.00000000 
  0.00000083,   0.88231841, 80293584602926368.00000000 
  0.00000084,   0.50141473, 44845008014267520.00000000 
  0.00000085,   0.22477438, 19813810469457812.00000000 
  0.00000086,   0.05655550, 4932206064699564.00000000 
  0.00000087,   0.00000000,   0.00000000 
Surface Bias =  -0.55846100, 	, 	 
Distance along fin(cm), Electron Density(per cm3), Hole Density(per cm3)
  0.00000000,   0.00000000,   0.00000000 
  0.00000001,   0.03382698, 7107980896383615.00000000 
  0.00000002,   0.13462966, 28560887443573912.00000000 
  0.00000003,   0.30095772, 64671066470262672.00000000 
  0.00000004,   0.53103416, 115868280027927040.00000000 
  0.00000005,   0.82292485, 182663318343618176.00000000 
  0.00000006,   1.17462480, 265619535525483648.00000000 
  0.00000007,   1.58410114, 365327853464288512.00000000 
  0.00000008,   2.04930983, 482383387451848768.00000000 
  0.00000009,   2.56819520, 617362779045656832.00000000 
  0.00000010,   3.13867825, 770801767339319808.00000000 
  0.00000011,   3.75863702, 943172787120169344.00000000 
  0.00000012,   4.42588210, 1134862553426733568.00000000 
  0.00000013,   5.13812888, 1346149718348202496.00000000 
  0.00000014,   5.89296831, 1577182786297825280.00000000 
  0.00000015,   6.68783732, 1827958557251844864.00000000 
  0.00000016,   7.51999000, 2098301437540759808.00000000 
  0.00000017,   8.38647049, 2387844016109345280.00000000 
  0.00000018,   9.28408847, 2696009350683410432.00000000 
  0.00000019,  10.20939802, 3021995442129338368.00000000 
  0.00000020,  11.15868069, 3364762395161182208.00000000 
  0.00000021,  12.12793341, 3723022767961970176.00000000 
  0.00000022,  13.11286195, 4095235600802967040.00000000 
  0.00000023,  14.10888053, 4479604583149859328.00000000 
  0.00000024,  15.11111803, 4874080769203015680.00000000 
  0.00000025,  16.11443130, 5276370183021533184.00000000 
  0.00000026,  17.11342578, 5683946566670014464.00000000 
  0.00000027,  18.10248363, 6094069419296227328.00000000 
  0.00000028,  19.07579932, 6503807353609554944.00000000 
  0.00000029,  20.02742250, 6910066661646388224.00000000 
  0.00000030,  20.95130774, 7309624837575548928.00000000 
  0.00000031,  21.84137061, 7699168655981071360.00000000 
  0.00000032,  22.69154924, 8075336254581526528.00000000 
  0.00000033,  23.49587040, 8434762526212391936.00000000 
  0.00000034,  24.24851895, 8774126991890238464.00000000 
  0.00000035,  24.94390932, 9090203210695727104.00000000 
  0.00000036,  25.57675752, 9379908688595363840.00000000 
  0.00000037,  26.14215220, 9640354182158196736.00000000 
  0.00000038,  26.63562306, 9868891258559719424.00000000 
  0.00000039,  27.05320509, 10063156973346818048.00000000 
  0.00000040,  27.39149702, 10221114563884554240.00000000 
  0.00000041,  27.64771256, 10341089129454893056.00000000 
  0.00000042,  27.81972309, 10421797377292390400.00000000 
  0.00000043,  27.90609069, 10462370654512289792.00000000 
  0.00000044,  27.90609069, 10462370654512289792.00000000 
  0.00000045,  27.81972309, 10421797377292384256.00000000 
  0.00000046,  27.64771256, 10341089129454886912.00000000 
  0.00000047,  27.39149702, 10221114563884544000.00000000 
  0.00000048,  27.05320509, 10063156973346809856.00000000 
  0.00000049,  26.63562306, 9868891258559705088.00000000 
  0.00000050,  26.14215220, 9640354182158174208.00000000 
  0.00000051,  25.57675752, 9379908688595345408.00000000 
  0.00000052,  24.94390932, 9090203210695702528.00000000 
  0.00000053,  24.24851895, 8774126991890215936.00000000 
  0.00000054,  23.49587040, 8434762526212362240.00000000 
  0.00000055,  22.69154924, 8075336254581497856.00000000 
  0.00000056,  21.84137061, 7699168655981039616.00000000 
  0.00000057,  20.95130774, 7309624837575519232.00000000 
  0.00000058,  20.02742250, 6910066661646355456.00000000 
  0.00000059,  19.07579932, 6503807353609524224.00000000 
  0.00000060,  18.10248363, 6094069419296194560.00000000 
  0.00000061,  17.11342578, 5683946566669983744.00000000 
  0.00000062,  16.11443130, 5276370183021505536.00000000 
  0.00000063,  15.11111803, 4874080769202991104.00000000 
  0.00000064,  14.10888053, 4479604583149836800.00000000 
  0.00000065,  13.11286195, 4095235600802946048.00000000 
  0.00000066,  12.12793341, 3723022767961951744.00000000 
  0.00000067,  11.15868069, 3364762395161166336.00000000 
  0.00000068,  10.20939802, 3021995442129323520.00000000 
  0.00000069,   9.28408847, 2696009350683397120.00000000 
  0.00000070,   8.38647049, 2387844016109335040.00000000 
  0.00000071,   7.51999000, 2098301437540750848.00000000 
  0.00000072,   6.68783732, 1827958557251837440.00000000 
  0.00000073,   5.89296831, 1577182786297818880.00000000 
  0.00000074,   5.13812888, 1346149718348197376.00000000 
  0.00000075,   4.42588210, 1134862553426729472.00000000 
  0.00000076,   3.75863702, 943172787120165760.00000000 
  0.00000077,   3.13867825, 770801767339317120.00000000 
  0.00000078,   2.56819520, 617362779045654656.00000000 
  0.00000079,   2.04930983, 482383387451847168.00000000 
  0.00000080,   1.58410114, 365327853464287360.00000000 
  0.00000081,   1.17462480, 265619535525482752.00000000 
  0.00000082,   0.82292485, 182663318343617632.00000000 
  0.00000083,   0.53103416, 115868280027926704.00000000 
  0.00000084,   0.30095772, 64671066470262480.00000000 
  0.00000085,   0.13462966, 28560887443573828.00000000 
  0.00000086,   0.03382698, 7107980896383594.00000000 
  0.00000087,   0.00000000,   0.00000000 
Surface Bias =  -0.58815556, 	, 	 
Distance along fin(cm), Electron Density(per cm3), Hole Density(per cm3)
  0.00000000,   0.00000000,   0.00000000 
  0.00000001,   0.02454788, 9278581992334618.00000000 
  0.00000002,   0.09782654, 37282643399599992.00000000 
  0.00000003,   0.21910867, 84427377648299584.00000000 
  0.00000004,   0.38757207, 151294001975943072.00000000 
  0.00000005,   0.60238781, 238583876705123328.00000000 
  0.00000006,   0.86275524, 347081966485594688.00000000 
  0.00000007,   1.16790989, 477624271213251520.00000000 
  0.00000008,   1.51711523, 631066947277782912.00000000 
  0.00000009,   1.90964412, 808255958170132480.00000000 
  0.00000010,   2.34475328, 1009996638523222912.00000000 
  0.00000011,   2.82165317, 1237022879253632512.00000000 
  0.00000012,   3.33947474, 1489965864398274304.00000000 
  0.00000013,   3.89723440, 1769322461829255680.00000000 
  0.00000014,   4.49379799, 2075423512469516032.00000000 
  0.00000015,   5.12784482, 2408402386146960384.00000000 
  0.00000016,   5.79783249, 2768164281109644288.00000000 
  0.00000017,   6.50196330, 3154356839535124480.00000000 
  0.00000018,   7.23815311, 3566342732261583360.00000000 
  0.00000019,   8.00400344, 4003174930456929280.00000000 
  0.00000020,   8.79677768, 4463575427368626688.00000000 
  0.00000021,   9.61338223, 4945918196697580544.00000000 
  0.00000022,  10.45035350, 5448217172545798144.00000000 
  0.00000023,  11.30385147, 5968120006607152128.00000000 
  0.00000024,  12.16966067, 6502908299152280576.00000000 
  0.00000025,  13.04319917, 7049504910047963136.00000000 
  0.00000026,  13.91953620, 7604488834222738432.00000000 
  0.00000027,  14.79341871, 8164117973552080896.00000000 
  0.00000028,  15.65930709, 8724359956385339392.00000000 
  0.00000029,  16.51142008, 9280930950656749568.00000000 
  0.00000030,  17.34378849, 9829342192005908480.00000000 
  0.00000031,  18.15031725, 10364953711313676288.00000000 
  0.00000032,  18.92485493, 10883034504554518528.00000000 
  0.00000033,  19.66126971, 11378828150918371328.00000000 
  0.00000034,  20.35353027, 11847622662481645568.00000000 
  0.00000035,  20.99579021, 12284823150269986816.00000000 
  0.00000036,  21.58247391, 12686025727068160000.00000000 
  0.00000037,  22.10836216, 13047090945731975168.00000000 
  0.00000038,  22.56867519, 13364215000672622592.00000000 
  0.00000039,  22.95915124, 13633996905438027776.00000000 
  0.00000040,  23.27611847, 13853499904495384576.00000000 
  0.00000041,  23.51655821, 14020305483447719936.00000000 
  0.00000042,  23.67815802, 14132558507263602688.00000000 
  0.00000043,  23.75935278, 14189002236137689088.00000000 
  0.00000044,  23.75935278, 14189002236137689088.00000000 
  0.00000045,  23.67815802, 14132558507263602688.00000000 
  0.00000046,  23.51655821, 14020305483447719936.00000000 
  0.00000047,  23.27611847, 13853499904495384576.00000000 
  0.00000048,  22.95915124, 13633996905438027776.00000000 
  0.00000049,  22.56867519, 13364215000672618496.00000000 
  0.00000050,  22.10836216, 13047090945731975168.00000000 
  0.00000051,  21.58247391, 12686025727068160000.00000000 
  0.00000052,  20.99579021, 12284823150269986816.00000000 
  0.00000053,  20.35353027, 11847622662481645568.00000000 
  0.00000054,  19.66126971, 11378828150918369280.00000000 
  0.00000055,  18.92485493, 10883034504554518528.00000000 
  0.00000056,  18.15031725, 10364953711313676288.00000000 
  0.00000057,  17.34378849, 9829342192005908480.00000000 
  0.00000058,  16.51142008, 9280930950656749568.00000000 
  0.00000059,  15.65930709, 8724359956385336320.00000000 
  0.00000060,  14.79341871, 8164117973552078848.00000000 
  0.00000061,  13.91953620, 7604488834222738432.00000000 
  0.00000062,  13.04319917, 7049504910047960064.00000000 
  0.00000063,  12.16966067, 6502908299152277504.00000000 
  0.00000064,  11.30385147, 5968120006607149056.00000000 
  0.00000065,  10.45035350, 5448217172545796096.00000000 
  0.00000066,   9.61338223, 4945918196697576448.00000000 
  0.00000067,   8.79677768, 4463575427368624128.00000000 
  0.00000068,   8.00400344, 4003174930456925696.00000000 
  0.00000069,   7.23815311, 3566342732261580288.00000000 
  0.00000070,   6.50196330, 3154356839535121408.00000000 
  0.00000071,   5.79783249, 2768164281109641728.00000000 
  0.00000072,   5.12784482, 2408402386146957824.00000000 
  0.00000073,   4.49379799, 2075423512469512960.00000000 
  0.00000074,   3.89723440, 1769322461829252864.00000000 
  0.00000075,   3.33947474, 1489965864398271488.00000000 
  0.00000076,   2.82165317, 1237022879253630208.00000000 
  0.00000077,   2.34475328, 1009996638523220864.00000000 
  0.00000078,   1.90964412, 808255958170131072.00000000 
  0.00000079,   1.51711523, 631066947277781760.00000000 
  0.00000080,   1.16790989, 477624271213250688.00000000 
  0.00000081,   0.86275524, 347081966485593984.00000000 
  0.00000082,   0.60238781, 238583876705122816.00000000 
  0.00000083,   0.38757207, 151294001975942752.00000000 
  0.00000084,   0.21910867, 84427377648299408.00000000 
  0.00000085,   0.09782654, 37282643399599912.00000000 
  0.00000086,   0.02454788, 9278581992334598.00000000 
  0.00000087,   0.00000000,   0.00000000 
Surface Bias =  -0.61454138, 	, 	 
Distance along fin(cm), Electron Density(per cm3), Hole Density(per cm3)
  0.00000000,   0.00000000,   0.00000000 
  0.00000001,   0.02024369, 11532002055426222.00000000 
  0.00000002,   0.08076413, 46331097225230488.00000000 
  0.00000003,   0.18118961, 104904736165997072.00000000 
  0.00000004,   0.32116774, 187971337681958240.00000000 
  0.00000005,   0.50041494, 296405809298504576.00000000 
  0.00000006,   0.71872788, 431195461537160384.00000000 
  0.00000007,   0.97597565, 593400248964407040.00000000 
  0.00000008,   1.27208051, 784114717569275520.00000000 
  0.00000009,   1.60699121, 1004430296327098496.00000000 
  0.00000010,   1.98065132, 1255397193613110016.00000000 
  0.00000011,   2.39296383, 1537985536977041920.00000000 
  0.00000012,   2.84375338, 1853045662004046848.00000000 
  0.00000013,   3.33272661, 2201267667515340544.00000000 
  0.00000014,   3.85943161, 2583140534864264192.00000000 
  0.00000015,   4.42321701, 2998911269759280640.00000000 
  0.00000016,   5.02319154, 3448544670318519296.00000000 
  0.00000017,   5.65818475, 3931684455568075776.00000000 
  0.00000018,   6.32670971, 4447616602682274816.00000000 
  0.00000019,   7.02692877, 4995235835825782784.00000000 
  0.00000020,   7.75662312, 5573016280504426496.00000000 
  0.00000021,   8.51316733, 6178987340420050944.00000000 
  0.00000022,   9.29350987, 6810715864443476992.00000000 
  0.00000023,  10.09416064, 7465295645261174784.00000000 
  0.00000024,  10.91118660, 8139345224981201920.00000000 
  0.00000025,  11.74021623, 8829014874003176448.00000000 
  0.00000026,  12.57645391, 9530003456648843264.00000000 
  0.00000027,  13.41470454, 10237585700989581312.00000000 
  0.00000028,  14.24940907, 10946650153518034944.00000000 
  0.00000029,  15.07469089, 11651747826435016704.00000000 
  0.00000030,  15.88441302, 12347151243191625728.00000000 
  0.00000031,  16.67224560, 13026923265506088960.00000000 
  0.00000032,  17.43174278, 13684994753271463936.00000000 
  0.00000033,  18.15642793, 14315249780092950528.00000000 
  0.00000034,  18.83988537, 14911616815272386560.00000000 
  0.00000035,  19.47585708, 15468164002037708800.00000000 
  0.00000036,  20.05834193, 15979196425648906240.00000000 
  0.00000037,  20.58169524, 16439353086688020480.00000000 
  0.00000038,  21.04072601, 16843701185600665600.00000000 
  0.00000039,  21.43078931, 17187825293144252416.00000000 
  0.00000040,  21.74787127, 17467909033411198976.00000000 
  0.00000041,  21.98866413, 17680807043473453056.00000000 
  0.00000042,  22.15062926, 17824105194413975552.00000000 
  0.00000043,  22.23204621, 17896167356494262272.00000000 
  0.00000044,  22.23204621, 17896167356494262272.00000000 
  0.00000045,  22.15062926, 17824105194413975552.00000000 
  0.00000046,  21.98866413, 17680807043473453056.00000000 
  0.00000047,  21.74787127, 17467909033411198976.00000000 
  0.00000048,  21.43078931, 17187825293144252416.00000000 
  0.00000049,  21.04072601, 16843701185600659456.00000000 
  0.00000050,  20.58169524, 16439353086688020480.00000000 
  0.00000051,  20.05834193, 15979196425648904192.00000000 
  0.00000052,  19.47585708, 15468164002037708800.00000000 
  0.00000053,  18.83988537, 14911616815272384512.00000000 
  0.00000054,  18.15642793, 14315249780092948480.00000000 
  0.00000055,  17.43174278, 13684994753271459840.00000000 
  0.00000056,  16.67224560, 13026923265506086912.00000000 
  0.00000057,  15.88441302, 12347151243191619584.00000000 
  0.00000058,  15.07469089, 11651747826435010560.00000000 
  0.00000059,  14.24940907, 10946650153518032896.00000000 
  0.00000060,  13.41470454, 10237585700989575168.00000000 
  0.00000061,  12.57645391, 9530003456648839168.00000000 
  0.00000062,  11.74021623, 8829014874003170304.00000000 
  0.00000063,  10.91118660, 8139345224981191680.00000000 
  0.00000064,  10.09416064, 7465295645261169664.00000000 
  0.00000065,   9.29350987, 6810715864443471872.00000000 
  0.00000066,   8.51316733, 6178987340420043776.00000000 
  0.00000067,   7.75662312, 5573016280504417280.00000000 
  0.00000068,   7.02692877, 4995235835825775616.00000000 
  0.00000069,   6.32670971, 4447616602682267648.00000000 
  0.00000070,   5.65818475, 3931684455568068608.00000000 
  0.00000071,   5.02319154, 3448544670318512128.00000000 
  0.00000072,   4.42321701, 2998911269759273472.00000000 
  0.00000073,   3.85943161, 2583140534864258048.00000000 
  0.00000074,   3.33272661, 2201267667515334656.00000000 
  0.00000075,   2.84375338, 1853045662004040960.00000000 
  0.00000076,   2.39296383, 1537985536977036288.00000000 
  0.00000077,   1.98065132, 1255397193613105152.00000000 
  0.00000078,   1.60699121, 1004430296327094912.00000000 
  0.00000079,   1.27208051, 784114717569272704.00000000 
  0.00000080,   0.97597565, 593400248964404864.00000000 
  0.00000081,   0.71872788, 431195461537158720.00000000 
  0.00000082,   0.50041494, 296405809298503360.00000000 
  0.00000083,   0.32116774, 187971337681957504.00000000 
  0.00000084,   0.18118961, 104904736165996672.00000000 
  0.00000085,   0.08076413, 46331097225230320.00000000 
  0.00000086,   0.02024369, 11532002055426178.00000000 
  0.00000087,   0.00000000,   0.00000000 
