Surface Bias =  -0.47804926, 	, 	 
Distance along fin(cm), Electron Density(per cm3), Hole Density(per cm3)
  0.00000000,   0.00000000,   0.00000000 
  0.00000001,   0.13944595, 2556614260335368.00000000 
  0.00000002,   0.55350156, 10264889344881020.00000000 
  0.00000003,   1.23225024, 23211325416676632.00000000 
  0.00000004,   2.16258424, 41505907319027064.00000000 
  0.00000005,   3.32936613, 65269394431190208.00000000 
  0.00000006,   4.71618737, 94623879654186432.00000000 
  0.00000007,   6.30590241, 129684927977669968.00000000 
  0.00000008,   8.08101523, 170554631091291456.00000000 
  0.00000009,  10.02396121, 217315268842214176.00000000 
  0.00000010,  12.11731138, 270023428511774528.00000000 
  0.00000011,  14.34391790, 328704517747250240.00000000 
  0.00000012,  16.68701464, 393347656983686336.00000000 
  0.00000013,  19.13028326, 463900968808673600.00000000 
  0.00000014,  21.65789311, 540267302518441088.00000000 
  0.00000015,  24.25452145, 622300445843155200.00000000 
  0.00000016,  26.90535915, 709801884455867264.00000000 
  0.00000017,  29.59610608, 802518174500112640.00000000 
  0.00000018,  32.31295976, 900138994583382912.00000000 
  0.00000019,  35.04259973, 1002295941846808704.00000000 
  0.00000020,  37.77217016, 1108562132068655616.00000000 
  0.00000021,  40.48926214, 1218452656469884672.00000000 
  0.00000022,  43.18189738, 1331425938133725696.00000000 
  0.00000023,  45.83851401, 1446886018916432384.00000000 
  0.00000024,  48.44795557, 1564185793638735104.00000000 
  0.00000025,  50.99946359, 1682631192480679680.00000000 
  0.00000026,  53.48267404, 1801486295184292608.00000000 
  0.00000027,  55.88761796, 1919979342281424128.00000000 
  0.00000028,  58.20472615, 2037309589543140864.00000000 
  0.00000029,  60.42483786, 2152654932672361472.00000000 
  0.00000030,  62.53921310, 2265180210449214208.00000000 
  0.00000031,  64.53954834, 2374046076627323904.00000000 
  0.00000032,  66.41799513, 2478418314414996992.00000000 
  0.00000033,  68.16718093, 2577477452893925888.00000000 
  0.00000034,  69.78023191, 2670428532736798208.00000000 
  0.00000035,  71.25079675, 2756510859543721984.00000000 
  0.00000036,  72.57307107, 2835007577418715648.00000000 
  0.00000037,  73.74182163, 2905254893361323008.00000000 
  0.00000038,  74.75240986, 2966650784865144320.00000000 
  0.00000039,  75.60081395, 3018663028894493184.00000000 
  0.00000040,  76.28364895, 3060836400132656128.00000000 
  0.00000041,  76.79818447, 3092798899917371904.00000000 
  0.00000042,  77.14235929, 3114266894335458304.00000000 
  0.00000043,  77.31479284, 3125049060156523520.00000000 
  0.00000044,  77.31479284, 3125049060156523520.00000000 
  0.00000045,  77.14235929, 3114266894335457792.00000000 
  0.00000046,  76.79818447, 3092798899917370880.00000000 
  0.00000047,  76.28364895, 3060836400132654080.00000000 
  0.00000048,  75.60081395, 3018663028894491136.00000000 
  0.00000049,  74.75240986, 2966650784865141760.00000000 
  0.00000050,  73.74182163, 2905254893361319936.00000000 
  0.00000051,  72.57307107, 2835007577418712576.00000000 
  0.00000052,  71.25079675, 2756510859543718400.00000000 
  0.00000053,  69.78023191, 2670428532736793600.00000000 
  0.00000054,  68.16718093, 2577477452893921280.00000000 
  0.00000055,  66.41799513, 2478418314414992384.00000000 
  0.00000056,  64.53954834, 2374046076627318784.00000000 
  0.00000057,  62.53921310, 2265180210449208320.00000000 
